aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
panynj	AA-645-DFW-MIA		6:13 AMDec 15			9:43 AMDec 15	
gofox	AA-645-DFW-MIA		6:13 AMDec 15			9:43 AMDec 15	
foxbusiness	AA-645-DFW-MIA		6:13 AMDec 15			9:43 AMDec 15	
allegiantair	AA-645-DFW-MIA		6:13 AMDec 15			9:43 AMDec 15	
boston	AA-645-DFW-MIA		6:13 AMDec 15			9:28 AMDec 15	
travelocity	AA-645-DFW-MIA	Dec 15 - 5:45am	Dec 15 - 5:57am	A19/A	Dec 15 - 9:20am	Dec 15 - 9:43am	D2
orbitz	AA-645-DFW-MIA	5:45aDec 15	5:57aDec 15	 A19	9:20aDec 15	9:43aDec 15	 D2
weather	AA-645-DFW-MIA	2011-12-15 05:45 AM			2011-12-15 09:20 AM		
mia	AA-645-DFW-MIA				9:20A 12-15-11	2011-12-15  9:43A	
usatoday	AA-645-DFW-MIA	2011-12-15 05:45 AM			2011-12-15 09:20 AM		
mytripandmore	AA-645-DFW-MIA	Dec 15 - 5:45am	Dec 15 - 5:57am	A19/A	Dec 15 - 9:20am	Dec 15 - 9:43am	D2
flightarrival	AA-645-DFW-MIA	2011-12-15 05:45 AM			2011-12-15 09:20 AM		
ua	UA-992-LAX-PIT	Thu, Dec 15 10:42 AM	Thu, Dec 15 10:42 AM	81	Thu, Dec 15 6:19 PM	Thu, Dec 15 6:19 PM	C51
airtravelcenter	UA-992-LAX-PIT		12/15/11 10:52 AM (-08:00)			12/15/11 5:43 PM (-05:00)	
myrateplan	UA-992-LAX-PIT		12/15/11 10:52 AM (-08:00)			12/15/11 5:43 PM (-05:00)	
helloflight	UA-992-LAX-PIT		12/15/11 10:52 AM (-08:00)			12/15/11 5:43 PM (-05:00)	
flytecomm	UA-992-LAX-PIT		12/15/11 10:52 AM (-08:00)			12/15/11 5:43 PM (-05:00)	
flightaware	UA-992-LAX-PIT	2011-12-15 10:42AM PST	2011-12-15 10:52AM PST	 81 	2011-12-15 05:59PM EST	2011-12-15 06:09PM EST	 C51 
wunderground	UA-992-LAX-PIT	2011-12-15 10:42AM PST	2011-12-15 10:52AM PST	 81 	2011-12-15 05:59PM EST	2011-12-15 06:09PM EST	 C51 
flights	UA-992-LAX-PIT	10:42 AM  Thu 15-Dec-2011		81	06:19 PM  Thu 15-Dec-2011		C51
businesstravellogue	UA-992-LAX-PIT	10:42 AM  Thu 15-Dec-2011		81	06:19 PM  Thu 15-Dec-2011		C51
flylouisville	UA-992-LAX-PIT	10:42 AM  Thu 15-Dec-2011		81	06:19 PM  Thu 15-Dec-2011		C51
flightstats	UA-992-LAX-PIT	2011-12-15 10:42 AM	2011-12-15 10:42 AM (Estimated)		2011-12-15 6:19 PM	2011-12-15 6:19 PM (Estimated)	
quicktrip	UA-992-LAX-PIT	2011-12-15 10:42 AM	2011-12-15 10:42 AM (Estimated)		2011-12-15 6:19 PM	2011-12-15 6:19 PM (Estimated)	
world-flight-tracker	UA-992-LAX-PIT	2011-12-15 10:42 AM	2011-12-15 10:42 AM (Estimated)		2011-12-15 6:19 PM	2011-12-15 6:19 PM (Estimated)	
flightview	UA-992-LAX-PIT	10:42 AM, Dec 15		81	6:19 PM, Dec 15		C51
panynj	UA-992-LAX-PIT	10:42 AM, Dec 15		81	6:19 PM, Dec 15		C51
gofox	UA-992-LAX-PIT	10:42 AM, Dec 15			6:19 PM, Dec 15		
foxbusiness	UA-992-LAX-PIT	10:42 AM, Dec 15		81	6:19 PM, Dec 15		C51
allegiantair	UA-992-LAX-PIT	10:42 AM, Dec 15		81	6:19 PM, Dec 15		C51
boston	UA-992-LAX-PIT	10:42 AM, Dec 15	Not Available		6:19 PM, Dec 15	Not Available	
travelocity	UA-992-LAX-PIT	Dec 15 - 10:42am	Dec 15 - Not Available	81	Dec 15 - 6:19pm	Dec 15 - Not Available	C51
orbitz	UA-992-LAX-PIT	10:42aDec 15		 81	6:19pDec 15		 C51
weather	UA-992-LAX-PIT	2011-12-15 10:42 AM			2011-12-15 06:19 PM		
mytripandmore	UA-992-LAX-PIT	10:42aDec 15		 81	6:19pDec 15		 C51
flightarrival	UA-992-LAX-PIT	10:42 AM, Dec 15	Not Available		6:19 PM, Dec 15	Not Available	
ua	UA-3173-SFO-CLT	Thu, Dec 15 10:20 PM	Thu, Dec 15 10:20 PM	28	Fri, Dec 16 6:03 AM	Fri, Dec 16 6:03 AM	B6
airtravelcenter	UA-3173-SFO-CLT		12/15/11 10:26 PM (-08:00)			12/16/11 5:46 AM (-05:00)	
myrateplan	UA-3173-SFO-CLT		12/15/11 10:26 PM (-08:00)			12/16/11 5:46 AM (-05:00)	
helloflight	UA-3173-SFO-CLT		12/15/11 10:26 PM (-08:00)			12/16/11 5:46 AM (-05:00)	
flytecomm	UA-3173-SFO-CLT		12/15/11 10:26 PM (-08:00)			12/16/11 5:46 AM (-05:00)	
flightaware	UA-3173-SFO-CLT	2011-12-15 10:20PM PST	2011-12-15 10:34PM PST		2011-12-15 05:53AM EST	2011-12-15 05:48AM EST	
wunderground	UA-3173-SFO-CLT	2011-12-15 10:20PM PST	2011-12-15 10:34PM PST		2011-12-15 05:53AM EST	2011-12-15 05:48AM EST	
flights	UA-3173-SFO-CLT	10:20 PM  Thu 15-Dec-2011			06:03 AM  Fri 16-Dec-2011		
businesstravellogue	UA-3173-SFO-CLT	10:20 PM  Thu 15-Dec-2011			06:03 AM  Fri 16-Dec-2011		
flylouisville	UA-3173-SFO-CLT	10:20 PM  Thu 15-Dec-2011			06:03 AM  Fri 16-Dec-2011		
flightstats	UA-3173-SFO-CLT	2011-12-15 10:20 PM	2011-12-15 10:26 PM (Estimated runway)		2011-12-15 6:03 AM	2011-12-15 5:46 AM (Estimated runway)	
quicktrip	UA-3173-SFO-CLT	2011-12-15 10:20 PM	2011-12-15 10:26 PM (Estimated runway)		2011-12-15 6:03 AM	2011-12-15 5:46 AM (Estimated runway)	
world-flight-tracker	UA-3173-SFO-CLT	2011-12-15 10:20 PM	2011-12-15 10:26 PM (Estimated runway)		2011-12-15 6:03 AM	2011-12-15 5:46 AM (Estimated runway)	
flightview	UA-3173-SFO-CLT	10:20 PM, Dec 15			6:03 AM, Dec 16		
panynj	UA-3173-SFO-CLT	10:20 PM, Dec 15			6:03 AM, Dec 16		
gofox	UA-3173-SFO-CLT	10:20 PM, Dec 15			6:03 AM, Dec 16		
foxbusiness	UA-3173-SFO-CLT	10:20 PM, Dec 15			6:03 AM, Dec 16		
allegiantair	UA-3173-SFO-CLT	10:20 PM, Dec 15			6:03 AM, Dec 16		
boston	UA-3173-SFO-CLT	10:20 PM, Dec 15	Not Available		6:03 AM, Dec 16	Not Available	
travelocity	UA-3173-SFO-CLT	Dec 15 - 10:20pm	Dec 15 - Contact Airline	Not provided by airline	Dec 16 - 6:03am	Dec 16 - Contact Airline	Not provided by airline
orbitz	UA-3173-SFO-CLT	10:20pDec 15		 28	6:03aDec 16		 B6
weather	UA-3173-SFO-CLT	2011-12-15 10:20 PM			2011-12-15 06:03 AM		
mytripandmore	UA-3173-SFO-CLT	10:20pDec 15		 28	6:03aDec 16		 B6
ua	UA-988-DEN-LAX	Thu, Dec 15 8:30 AM	Thu, Dec 15 10:40 AM            Delayed	B47	Thu, Dec 15 10:02 AM	Thu, Dec 15 12:12 PM	76
flightexplorer	UA-988-DEN-LAX		12/15/2011 11:09AM MST			12/15/2011 12:00PM PST	
airtravelcenter	UA-988-DEN-LAX		12/15/11 11:11 AM (-07:00)			12/15/11 12:06 PM (-08:00)	
myrateplan	UA-988-DEN-LAX		12/15/11 11:11 AM (-07:00)			12/15/11 12:06 PM (-08:00)	
helloflight	UA-988-DEN-LAX		12/15/11 11:11 AM (-07:00)			12/15/11 12:06 PM (-08:00)	
flytecomm	UA-988-DEN-LAX		12/15/11 11:11 AM (-07:00)			12/15/11 12:06 PM (-08:00)	
flightaware	UA-988-DEN-LAX	2011-12-15 08:30AM MST	2011-12-15 11:10AM MST	 B47 	2011-12-15 09:47AM PST	2011-12-15 12:02PM PST	 76 
wunderground	UA-988-DEN-LAX	2011-12-15 08:30AM MST	2011-12-15 11:10AM MST	 B47 	2011-12-15 09:47AM PST	2011-12-15 12:02PM PST	 76 
flights	UA-988-DEN-LAX		2011-12-15 10:40 AM	B47		2011-12-15 10:02 AM	76
businesstravellogue	UA-988-DEN-LAX		2011-12-15 10:40 AM	B47		2011-12-15 10:02 AM	76
flylouisville	UA-988-DEN-LAX		2011-12-15 10:40 AM	B47		2011-12-15 10:02 AM	76
flightstats	UA-988-DEN-LAX	2011-12-15 8:30 AM	2011-12-15 10:40 AM		2011-12-15 10:02 AM	2011-12-15 12:12 PM (Estimated)	
quicktrip	UA-988-DEN-LAX	2011-12-15 8:30 AM	2011-12-15 10:40 AM		2011-12-15 10:02 AM	2011-12-15 12:12 PM (Estimated)	
flightview	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
panynj	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
gofox	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
foxbusiness	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
allegiantair	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
boston	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
orbitz	UA-988-DEN-LAX	8:30aDec 15	10:40aDec 15	 B47	2:22pDec 15		 76
den	UA-988-DEN-LAX	2011-12-15 8:30 AM		B42			
ifly	UA-988-DEN-LAX	2011-12-15 8:30 AM	2011-12-15 10:40 AM		2011-12-15 10:02 AM	2011-12-15 12:12 PM (Estimated)	
mytripandmore	UA-988-DEN-LAX	8:30aDec 15	10:40aDec 15	 B47	2:22pDec 15		 76
flightwise	UA-988-DEN-LAX	2011-12-15 08:30AM MST	2011-12-15 11:10AM MST	 B47 	2011-12-15 09:47AM PST	2011-12-15 12:02PM PST	 76 
flightarrival	UA-988-DEN-LAX		11:11 AMDec 15			12:00 PMDec 15	
ua	UA-414-SFO-EWR	Thu, Dec 15 9:11 AM	Thu, Dec 15 10:00 AM            Delayed	73	Thu, Dec 15 5:40 PM	Thu, Dec 15 6:07 PM	16
flightexplorer	UA-414-SFO-EWR	12/15/2011 10:19AM PST			12/15/2011 5:58PM EST		
airtravelcenter	UA-414-SFO-EWR		12/15/11 9:30 AM (-08:00)			12/15/11 5:09 PM (-05:00)	
myrateplan	UA-414-SFO-EWR		12/15/11 9:30 AM (-08:00)			12/15/11 5:09 PM (-05:00)	
helloflight	UA-414-SFO-EWR		12/15/11 9:30 AM (-08:00)			12/15/11 5:09 PM (-05:00)	
flytecomm	UA-414-SFO-EWR		12/15/11 9:30 AM (-08:00)			12/15/11 5:09 PM (-05:00)	
flightaware	UA-414-SFO-EWR	2011-12-15 09:11AM PST	2011-12-15 10:10AM PST	 73 	2011-12-15 04:58PM EST	2011-12-15 05:57PM EST	 16 
wunderground	UA-414-SFO-EWR	2011-12-15 09:11AM PST	2011-12-15 10:10AM PST	 73 	2011-12-15 04:58PM EST	2011-12-15 05:57PM EST	 16 
flights	UA-414-SFO-EWR	2011-12-15 09:11 AM		73	2011-12-15 05:40 PM		16
businesstravellogue	UA-414-SFO-EWR	2011-12-15 09:11 AM		73	2011-12-15 05:40 PM		16
flylouisville	UA-414-SFO-EWR	2011-12-15 09:11 AM		73	2011-12-15 05:40 PM		16
flightview	UA-414-SFO-EWR	10:00 AMDec 15			6:07 PMDec 15		
panynj	UA-414-SFO-EWR	10:00 AMDec 15			6:07 PMDec 15		
gofox	UA-414-SFO-EWR	10:00 AMDec 15			6:07 PMDec 15		
foxbusiness	UA-414-SFO-EWR	10:00 AMDec 15			6:07 PMDec 15		
allegiantair	UA-414-SFO-EWR	10:00 AMDec 15			6:07 PMDec 15		
boston	UA-414-SFO-EWR	9:11 AMDec 15			4:50 PMDec 15		
orbitz	UA-414-SFO-EWR	9:11aDec 15		 -	6:34pDec 15		 -
flightarrival	UA-414-SFO-EWR	9:11 AMDec 15			4:50 PMDec 15		
aa	AA-192-LAX-BOS	December 15, 2011               10:05 PM    	December 15, 2011     	 47A	December 16, 2011               06:20 AM    	December 16, 2011     	 B34    
flightexplorer	AA-192-LAX-BOS		12/14/2011 10:24PM PST			12/15/2011 6:08AM EST	
flightexplorer	AA-192-LAX-BOS	12/15/2011 10:05PM PST			12/16/2011 6:20AM EST		
airtravelcenter	AA-192-LAX-BOS		12/15/11 10:50 PM (-08:00)			12/16/11 5:53 AM (-05:00)	
myrateplan	AA-192-LAX-BOS		12/15/11 10:50 PM (-08:00)			12/16/11 5:53 AM (-05:00)	
helloflight	AA-192-LAX-BOS		12/15/11 10:50 PM (-08:00)			12/16/11 5:53 AM (-05:00)	
flytecomm	AA-192-LAX-BOS		12/15/11 10:50 PM (-08:00)			12/16/11 5:53 AM (-05:00)	
flights	AA-192-LAX-BOS	10:05 PM  Thu 15-Dec-2011		42A	06:20 AM  Fri 16-Dec-2011		B34
businesstravellogue	AA-192-LAX-BOS	10:05 PM  Thu 15-Dec-2011		42A	06:20 AM  Fri 16-Dec-2011		B34
flylouisville	AA-192-LAX-BOS	10:05 PM  Thu 15-Dec-2011		42A	06:20 AM  Fri 16-Dec-2011		B34
flightstats	AA-192-LAX-BOS	2011-12-15 10:05 PM	2011-12-15 10:05 PM (Estimated)		2011-12-15 6:20 AM	2011-12-15 6:20 AM (Estimated)	
quicktrip	AA-192-LAX-BOS	2011-12-15 10:05 PM	2011-12-15 10:05 PM (Estimated)		2011-12-15 6:20 AM	2011-12-15 6:20 AM (Estimated)	
world-flight-tracker	AA-192-LAX-BOS	2011-12-15 10:05 PM	2011-12-15 10:05 PM (Estimated)		2011-12-15 6:20 AM	2011-12-15 6:20 AM (Estimated)	
flightview	AA-192-LAX-BOS	10:05 PM, Dec 15		Terminal 4 - 47A	6:20 AM, Dec 16		Terminal B - B34
panynj	AA-192-LAX-BOS	10:05 PM, Dec 15		Terminal 4 - 47A	6:20 AM, Dec 16		Terminal B - B34
gofox	AA-192-LAX-BOS	10:05 PM, Dec 15			6:20 AM, Dec 16		
foxbusiness	AA-192-LAX-BOS	10:05 PM, Dec 15		Terminal 4 - 47A	6:20 AM, Dec 16		Terminal B - B34
allegiantair	AA-192-LAX-BOS	10:05 PM, Dec 15		Terminal 4 - 47A	6:20 AM, Dec 16		Terminal B - B34
boston	AA-192-LAX-BOS	10:05 PM, Dec 15	Not Available		6:20 AM, Dec 16	Not Available	
travelocity	AA-192-LAX-BOS	Dec 15 - 10:05pm	Dec 15 - Not Available	47A/T4	Dec 16 - 6:20am	Dec 16 - Not Available	B34
orbitz	AA-192-LAX-BOS	10:05pDec 15		 47A	6:20aDec 16		 B34
weather	AA-192-LAX-BOS	2011-12-15 10:05 PM	2011-12-15 10:24 PM		2011-12-15 06:20 AM	2011-12-15 06:17 AM	
usatoday	AA-192-LAX-BOS	2011-12-15 10:05 PM	2011-12-15 10:24 PM		2011-12-15 06:20 AM	2011-12-15 06:17 AM	
ua	UA-282-IAD-SEA	Thu, Dec 15 8:19 AM	Thu, Dec 15 8:18 AM	C2	Thu, Dec 15 11:15 AM	Thu, Dec 15 11:05 AM	N16
flightexplorer	UA-282-IAD-SEA		12/15/2011 8:39AM EST			12/15/2011 10:59AM PST	
airtravelcenter	UA-282-IAD-SEA		12/15/11 8:41 AM (-05:00)			12/15/11 11:08 AM (-08:00)	
myrateplan	UA-282-IAD-SEA		12/15/11 8:41 AM (-05:00)			12/15/11 11:08 AM (-08:00)	
helloflight	UA-282-IAD-SEA		12/15/11 8:41 AM (-05:00)			12/15/11 11:08 AM (-08:00)	
flytecomm	UA-282-IAD-SEA		12/15/11 8:41 AM (-05:00)			12/15/11 11:08 AM (-08:00)	
flightaware	UA-282-IAD-SEA	2011-12-15 08:19AM EST	2011-12-15 08:41AM EST	 C2 	2011-12-15 10:49AM PST	2011-12-15 10:59AM PST	 N16 
wunderground	UA-282-IAD-SEA	2011-12-15 08:19AM EST	2011-12-15 08:41AM EST	 C2 	2011-12-15 10:49AM PST	2011-12-15 10:59AM PST	 N16 
flights	UA-282-IAD-SEA	08:19 AM  Thu 15-Dec-2011		C2	11:15 AM  Thu 15-Dec-2011		16
businesstravellogue	UA-282-IAD-SEA	08:19 AM  Thu 15-Dec-2011		C2	11:15 AM  Thu 15-Dec-2011		16
flylouisville	UA-282-IAD-SEA	08:19 AM  Thu 15-Dec-2011		C2	11:15 AM  Thu 15-Dec-2011		16
world-flight-tracker	UA-282-IAD-SEA	2011-12-15 8:19 AM	2011-12-15 8:18 AM		2011-12-15 11:15 AM	2011-12-15 11:05 AM (Estimated)	
flightview	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15		
panynj	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15		
gofox	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15		
foxbusiness	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15		
allegiantair	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15		
boston	UA-282-IAD-SEA	8:19 AM, Dec 15	8:41 AM, Dec 15		11:15 AM, Dec 15	11:00 AM, Dec 15&nbsp(Estimated)	
travelocity	UA-282-IAD-SEA	Dec 15 - Not Available	Dec 15 - 8:40am	C2	Dec 15 - Not Available	Dec 15 - 11:05am*	N16
orbitz	UA-282-IAD-SEA	8:19aDec 15	8:18aDec 15	 C2	10:55aDec 15		 N16
weather	UA-282-IAD-SEA	2011-12-15 08:19 AM	2011-12-15 08:41 AM		2011-12-15 11:15 AM	2011-12-15 11:13 AM	
mytripandmore	UA-282-IAD-SEA	8:19aDec 15	8:18aDec 15	 C2	10:55aDec 15		 N16
flightwise	UA-282-IAD-SEA	2011-12-15 08:19AM EST	2011-12-15 08:41AM EST	 C2 	2011-12-15 10:49AM PST	2011-12-15 10:59AM PST	 N16 
ua	UA-303-JFK-SFO	Thu, Dec 15 6:06 AM	Thu, Dec 15 6:02 AM	10	Thu, Dec 15 9:49 AM	Thu, Dec 15 9:17 AM	80
flightexplorer	UA-303-JFK-SFO		12/15/2011 6:16AM EST			12/15/2011 9:09AM PST	
airtravelcenter	UA-303-JFK-SFO		12/15/11 6:16 AM (-05:00)			12/15/11 9:04 AM (-08:00)	
myrateplan	UA-303-JFK-SFO		12/15/11 6:16 AM (-05:00)			12/15/11 9:04 AM (-08:00)	
helloflight	UA-303-JFK-SFO		12/15/11 6:16 AM (-05:00)			12/15/11 9:04 AM (-08:00)	
flytecomm	UA-303-JFK-SFO		12/15/11 6:16 AM (-05:00)			12/15/11 9:04 AM (-08:00)	
flightaware	UA-303-JFK-SFO	2011-12-15 06:06AM EST	2011-12-15 06:15AM EST	 10 	2011-12-15 09:23AM PST	2011-12-15 09:10AM PST	 80 
wunderground	UA-303-JFK-SFO	2011-12-15 06:06AM EST	2011-12-15 06:15AM EST	 10 	2011-12-15 09:23AM PST	2011-12-15 09:10AM PST	 80 
flights	UA-303-JFK-SFO	06:06 AM  Thu 15-Dec-2011	06:02 AM  Thu 15-Dec-2011	10	09:49 AM  Thu 15-Dec-2011	09:17 AM  Thu 15-Dec-2011	80
businesstravellogue	UA-303-JFK-SFO	06:06 AM  Thu 15-Dec-2011	06:02 AM  Thu 15-Dec-2011	10	09:49 AM  Thu 15-Dec-2011	09:17 AM  Thu 15-Dec-2011	80
flylouisville	UA-303-JFK-SFO	06:06 AM  Thu 15-Dec-2011	06:02 AM  Thu 15-Dec-2011	10	09:49 AM  Thu 15-Dec-2011	09:17 AM  Thu 15-Dec-2011	80
flightstats	UA-303-JFK-SFO	2011-12-15 6:06 AM	2011-12-15 6:02 AM		2011-12-15 9:49 AM	2011-12-15 9:17 AM	
quicktrip	UA-303-JFK-SFO	2011-12-15 6:06 AM	2011-12-15 6:02 AM		2011-12-15 9:49 AM	2011-12-15 9:17 AM	
world-flight-tracker	UA-303-JFK-SFO	2011-12-15 6:06 AM	2011-12-15 6:02 AM		2011-12-15 9:49 AM	2011-12-15 9:17 AM	
flightview	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15	10	9:49 AM, Dec 15	9:17 AM, Dec 15	Terminal 3 - 80
panynj	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15	10	9:49 AM, Dec 15	9:17 AM, Dec 15	Terminal 3 - 80
gofox	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15		9:49 AM, Dec 15	9:17 AM, Dec 15	
foxbusiness	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15	10	9:49 AM, Dec 15	9:17 AM, Dec 15	Terminal 3 - 80
allegiantair	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15	10	9:49 AM, Dec 15	9:17 AM, Dec 15	Terminal 3 - 80
boston	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15		9:49 AM, Dec 15	9:11 AM, Dec 15	
travelocity	UA-303-JFK-SFO	Dec 15 - Not Available	Dec 15 - 6:15am	10	Dec 15 - Not Available	Dec 15 - 9:17am	80
orbitz	UA-303-JFK-SFO	6:19aDec 15	6:15aDec 15	 10	9:49aDec 15	9:17aDec 15	 -
weather	UA-303-JFK-SFO	2011-12-15 06:06 AM	2011-12-15 06:16 AM		2011-12-15 09:49 AM	2011-12-15 09:09 AM	
sfo	UA-303-JFK-SFO				2011-12-15 9:49 AM		80
usatoday	UA-303-JFK-SFO	6:06 AM, Dec 15	6:16 AM, Dec 15		9:49 AM, Dec 15	9:11 AM, Dec 15	
flightarrival	UA-303-JFK-SFO	2011-12-15 06:06 AM	2011-12-15 06:16 AM		2011-12-15 09:49 AM	2011-12-15 09:09 AM	
ua	UA-225-IAD-SFO	Thu, Dec 15 10:01 PM	Thu, Dec 15 10:01 PM	C6	Fri, Dec 16 1:06 AM	Fri, Dec 16 1:06 AM	69
flightexplorer	UA-225-IAD-SFO		12/14/2011 10:03PM EST			12/15/2011 12:31AM PST	
airtravelcenter	UA-225-IAD-SFO		12/15/11 10:06 PM (-05:00)			12/16/11 12:27 AM (-08:00)	
myrateplan	UA-225-IAD-SFO		12/15/11 10:06 PM (-05:00)			12/16/11 12:27 AM (-08:00)	
helloflight	UA-225-IAD-SFO		12/15/11 10:06 PM (-05:00)			12/16/11 12:27 AM (-08:00)	
flytecomm	UA-225-IAD-SFO		12/15/11 10:06 PM (-05:00)			12/16/11 12:27 AM (-08:00)	
flightaware	UA-225-IAD-SFO	2011-12-15 09:55PM EST	2011-12-15 10:04PM EST	 D1 	2011-12-15 12:35AM PST	2011-12-15 12:32AM PST	 96 
wunderground	UA-225-IAD-SFO	2011-12-15 09:55PM EST	2011-12-15 10:04PM EST	 D1 	2011-12-15 12:35AM PST	2011-12-15 12:32AM PST	 96 
flights	UA-225-IAD-SFO	10:01 PM  Thu 15-Dec-2011			01:06 AM  Fri 16-Dec-2011		
businesstravellogue	UA-225-IAD-SFO	10:01 PM  Thu 15-Dec-2011			01:06 AM  Fri 16-Dec-2011		
flylouisville	UA-225-IAD-SFO	10:01 PM  Thu 15-Dec-2011			01:06 AM  Fri 16-Dec-2011		
flightstats	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:06 PM (Estimated runway)		2011-12-15 1:06 AM	2011-12-15 12:27 AM (Estimated runway)	
quicktrip	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:06 PM (Estimated runway)		2011-12-15 1:06 AM	2011-12-15 12:27 AM (Estimated runway)	
world-flight-tracker	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:06 PM (Estimated runway)		2011-12-15 1:06 AM	2011-12-15 12:27 AM (Estimated runway)	
flightview	UA-225-IAD-SFO	10:01 PM, Dec 15		C6	1:06 AM, Dec 16		Terminal 3 - 69
panynj	UA-225-IAD-SFO	10:01 PM, Dec 15		C6	1:06 AM, Dec 16		Terminal 3 - 69
gofox	UA-225-IAD-SFO	10:01 PM, Dec 15			1:06 AM, Dec 16		
foxbusiness	UA-225-IAD-SFO	10:01 PM, Dec 15		C6	1:06 AM, Dec 16		Terminal 3 - 69
allegiantair	UA-225-IAD-SFO	10:01 PM, Dec 15		C6	1:06 AM, Dec 16		Terminal 3 - 69
boston	UA-225-IAD-SFO	10:01 PM, Dec 15	Not Available		1:06 AM, Dec 16	Not Available	
travelocity	UA-225-IAD-SFO	Dec 15 - 10:01pm	Dec 15 - Not Available	C6	Dec 15 - 1:06am	Dec 15 - Not Available	CHK
orbitz	UA-225-IAD-SFO	10:01pDec 15		 C6	1:06aDec 15		 -
weather	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:05 PM		2011-12-15 01:06 AM	2011-12-15 12:32 AM	
ifly	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:06 PM (Estimated runway)		2011-12-15 1:06 AM	2011-12-15 12:27 AM (Estimated runway)	
usatoday	UA-225-IAD-SFO	10:01 PM, Dec 15	Not Available		1:06 AM, Dec 16	Not Available	
mytripandmore	UA-225-IAD-SFO	10:01pDec 15		 C6	1:06aDec 15		 -
flightarrival	UA-225-IAD-SFO	2011-12-15 10:01 PM	2011-12-15 10:05 PM		2011-12-15 01:06 AM	2011-12-15 12:32 AM	
aa	AA-2320-DFW-ORD	December 15, 2011               05:45 AM    	December 15, 2011               05:42 AM    	 A28	December 15, 2011               08:05 AM    	December 15, 2011               07:48 AM    	 H10    
flightexplorer	AA-2320-DFW-ORD		12/15/2011 5:54AM CST			12/15/2011 7:47AM CST	
airtravelcenter	AA-2320-DFW-ORD		12/15/11 5:54 AM (-06:00)			12/15/11 7:47 AM (-06:00)	
myrateplan	AA-2320-DFW-ORD		12/15/11 5:54 AM (-06:00)			12/15/11 7:47 AM (-06:00)	
helloflight	AA-2320-DFW-ORD		12/15/11 5:54 AM (-06:00)			12/15/11 7:47 AM (-06:00)	
flytecomm	AA-2320-DFW-ORD		12/15/11 5:54 AM (-06:00)			12/15/11 7:47 AM (-06:00)	
flightaware	AA-2320-DFW-ORD	2011-12-15 05:45AM CST	2011-12-15 05:54AM CST	 A28 	2011-12-15 07:42AM CST	2011-12-15 07:44AM CST	 H10 
wunderground	AA-2320-DFW-ORD	2011-12-15 05:45AM CST	2011-12-15 05:54AM CST	 A28 	2011-12-15 07:42AM CST	2011-12-15 07:44AM CST	 H10 
flights	AA-2320-DFW-ORD	05:45 AM  Thu 15-Dec-2011	05:42 AM  Thu 15-Dec-2011	A28	08:05 AM  Thu 15-Dec-2011	07:48 AM  Thu 15-Dec-2011	H10
businesstravellogue	AA-2320-DFW-ORD	05:45 AM  Thu 15-Dec-2011	05:42 AM  Thu 15-Dec-2011	A28	08:05 AM  Thu 15-Dec-2011	07:48 AM  Thu 15-Dec-2011	H10
flylouisville	AA-2320-DFW-ORD	05:45 AM  Thu 15-Dec-2011	05:42 AM  Thu 15-Dec-2011	A28	08:05 AM  Thu 15-Dec-2011	07:48 AM  Thu 15-Dec-2011	H10
flightstats	AA-2320-DFW-ORD	2011-12-15 5:45 AM	2011-12-15 5:42 AM		2011-12-15 8:05 AM	2011-12-15 7:48 AM	
quicktrip	AA-2320-DFW-ORD	2011-12-15 5:45 AM	2011-12-15 5:42 AM		2011-12-15 8:05 AM	2011-12-15 7:48 AM	
