ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
quicktrip	CO-53-LAX-IAH	2011-12-14 2:40 PM	2011-12-14 2:43 PM		2011-12-14 7:48 PM	2011-12-14 7:46 PM	
flightview	CO-53-LAX-IAH		2:55 PMDec 14			7:46 PMDec 14	
panynj	CO-53-LAX-IAH		2:55 PMDec 14			7:46 PMDec 14	
gofox	CO-53-LAX-IAH		2:55 PMDec 14			7:46 PMDec 14	
foxbusiness	CO-53-LAX-IAH		2:55 PMDec 14			7:46 PMDec 14	
allegiantair	CO-53-LAX-IAH		2:55 PMDec 14			7:46 PMDec 14	
boston	CO-53-LAX-IAH		2:55 PMDec 14			7:38 PMDec 14	
orbitz	CO-53-LAX-IAH	2:40pDec 14	2:43pDec 14	 62	7:48pDec 14	7:46pDec 14	 C-37
weather	CO-53-LAX-IAH	2011-12-14 02:40 PM			2011-12-14 07:48 PM		
ifly	CO-53-LAX-IAH	2011-12-14 2:40 PM	2011-12-14 2:43 PM		2011-12-14 7:48 PM	2011-12-14 7:46 PM	
usatoday	CO-53-LAX-IAH	2011-12-14 2:40 PM	2011-12-14 2:43 PM		2011-12-14 7:48 PM	2011-12-14 7:46 PM	
flightarrival	CO-53-LAX-IAH	2011-12-14 02:40 PM			2011-12-14 07:48 PM		
CO	CO-1030-DEN-IAH	Wed., Dec.14, 2011 2:15 p.m.	Wed., Dec.14, 2011 2:16 p.m.		Wed., Dec.14, 2011 5:38 p.m.	Wed., Dec.14, 2011 5:36 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/14/11 2:15 PM (-07:00)			12/14/11 5:38 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/14/11 2:15 PM (-07:00)			12/14/11 5:38 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/14/11 2:15 PM (-07:00)			12/14/11 5:38 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/14/11 2:15 PM (-07:00)			12/14/11 5:38 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-14 02:16 PM	B18		2011-12-14 05:36 PM	22
businesstravellogue	CO-1030-DEN-IAH		2011-12-14 02:16 PM	B18		2011-12-14 05:36 PM	22
flylouisville	CO-1030-DEN-IAH		2011-12-14 02:16 PM	B18		2011-12-14 05:36 PM	22
flightstats	CO-1030-DEN-IAH	2011-12-14 2:15 PM	2011-12-14 2:16 PM		2011-12-14 5:38 PM	2011-12-14 5:36 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-14 2:15 PM	2011-12-14 2:16 PM		2011-12-14 5:38 PM	2011-12-14 5:36 PM	
flightview	CO-1030-DEN-IAH		2:26 PMDec 14			5:36 PMDec 14	
panynj	CO-1030-DEN-IAH		2:26 PMDec 14			5:36 PMDec 14	
gofox	CO-1030-DEN-IAH		2:26 PMDec 14			5:36 PMDec 14	
foxbusiness	CO-1030-DEN-IAH		2:26 PMDec 14			5:36 PMDec 14	
allegiantair	CO-1030-DEN-IAH		2:26 PMDec 14			5:36 PMDec 14	
boston	CO-1030-DEN-IAH		2:26 PMDec 14			5:26 PMDec 14	
orbitz	CO-1030-DEN-IAH	2:15pDec 14	2:16pDec 14	 B18	5:38pDec 14	5:36pDec 14	 E22
weather	CO-1030-DEN-IAH	2011-12-14 02:15 PM			2011-12-14 05:38 PM		
den	CO-1030-DEN-IAH	2011-12-14 2:15 PM		B18			
ifly	CO-1030-DEN-IAH	2011-12-14 2:15 PM	2011-12-14 2:16 PM		2011-12-14 5:38 PM	2011-12-14 5:36 PM	
usatoday	CO-1030-DEN-IAH	2011-12-14 02:15 PM			2011-12-14 05:38 PM		
mytripandmore	CO-1030-DEN-IAH	2:15pDec 14	2:16pDec 14	 B18	5:38pDec 14	5:36pDec 14	 E22
ua	UA-1005-BOS-IAH	Wed, Dec 14 4:20 PM	Wed, Dec 14 4:20 PM	A7	Wed, Dec 14 7:50 PM	Wed, Dec 14 7:38 PM	C-33
flightexplorer	UA-1005-BOS-IAH	12/14/2011 4:20PM EST			12/14/2011 7:50PM CST		
airtravelcenter	UA-1005-BOS-IAH		12/14/11 4:35 PM (-05:00)			12/14/11 7:19 PM (-06:00)	
airtravelcenter	UA-1005-BOS-IAH	12/14/11 4:20 PM (-05:00)			12/14/11 7:50 PM (-06:00)		
myrateplan	UA-1005-BOS-IAH		12/14/11 4:35 PM (-05:00)			12/14/11 7:19 PM (-06:00)	
myrateplan	UA-1005-BOS-IAH	12/14/11 4:20 PM (-05:00)			12/14/11 7:50 PM (-06:00)		
helloflight	UA-1005-BOS-IAH		12/14/11 4:35 PM (-05:00)			12/14/11 7:19 PM (-06:00)	
helloflight	UA-1005-BOS-IAH	12/14/11 4:20 PM (-05:00)			12/14/11 7:50 PM (-06:00)		
flytecomm	UA-1005-BOS-IAH		12/14/11 4:35 PM (-05:00)			12/14/11 7:19 PM (-06:00)	
flytecomm	UA-1005-BOS-IAH	12/14/11 4:20 PM (-05:00)			12/14/11 7:50 PM (-06:00)		
flightaware	UA-1005-BOS-IAH	2011-12-14 04:20PM EST	2011-12-14 04:30PM EST	 A7 	2011-12-14 07:30PM CST	2011-12-14 07:40PM CST	 33 
wunderground	UA-1005-BOS-IAH	2011-12-14 04:20PM EST	2011-12-14 04:30PM EST	 A7 	2011-12-14 07:30PM CST	2011-12-14 07:40PM CST	 33 
flights	UA-1005-BOS-IAH	2011-12-14 04:20 PM		A7	2011-12-14 07:50 PM		33
businesstravellogue	UA-1005-BOS-IAH	2011-12-14 04:20 PM		A7	2011-12-14 07:50 PM		33
flylouisville	UA-1005-BOS-IAH	2011-12-14 04:20 PM		A7	2011-12-14 07:50 PM		33
flightview	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
panynj	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
gofox	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
foxbusiness	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
allegiantair	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
boston	UA-1005-BOS-IAH	4:20 PMDec 14			7:50 PMDec 14		
travelocity	UA-1005-BOS-IAH	Dec 14 - 4:20pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 7:50pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1005-BOS-IAH	4:20pDec 14		 A7	7:50pDec 14		 33
weather	UA-1005-BOS-IAH	2011-12-14 04:20 PM			2011-12-14 07:50 PM		
flightwise	UA-1005-BOS-IAH	2011-12-14 04:20PM EST	2011-12-14 04:30PM EST	 A7 	2011-12-14 07:30PM CST	2011-12-14 07:40PM CST	 33 
flightarrival	UA-1005-BOS-IAH	2011-12-14 04:20 PM			2011-12-14 07:50 PM		
aa	AA-185-JFK-LAX	December 14, 2011               09:00 PM    	December 14, 2011     	 46	December 15, 2011               12:23 AM    	December 15, 2011     	 49A    
flightexplorer	AA-185-JFK-LAX		12/13/2011 9:10PM EST			12/14/2011 12:12AM PST	
flightexplorer	AA-185-JFK-LAX	12/14/2011 9:00PM EST			12/15/2011 12:23AM PST		
airtravelcenter	AA-185-JFK-LAX	12/14/11 9:00 PM (-05:00)			12/15/11 12:23 AM (-08:00)		
myrateplan	AA-185-JFK-LAX	12/14/11 9:00 PM (-05:00)			12/15/11 12:23 AM (-08:00)		
helloflight	AA-185-JFK-LAX	12/14/11 9:00 PM (-05:00)			12/15/11 12:23 AM (-08:00)		
flytecomm	AA-185-JFK-LAX	12/14/11 9:00 PM (-05:00)			12/15/11 12:23 AM (-08:00)		
flightaware	AA-185-JFK-LAX	2011-12-14 09:00PM EST	2011-12-14 09:10PM EST	 46 	2011-12-14 12:03AM PST	2011-12-14 12:13AM PST	 49A 
wunderground	AA-185-JFK-LAX	2011-12-14 09:00PM EST	2011-12-14 09:10PM EST	 46 	2011-12-14 12:03AM PST	2011-12-14 12:13AM PST	 49A 
flights	AA-185-JFK-LAX	09:00 PM  Wed 14-Dec-2011		C46	12:23 AM  Thu 15-Dec-2011		49A
businesstravellogue	AA-185-JFK-LAX	09:00 PM  Wed 14-Dec-2011		C46	12:23 AM  Thu 15-Dec-2011		49A
flylouisville	AA-185-JFK-LAX	09:00 PM  Wed 14-Dec-2011		C46	12:23 AM  Thu 15-Dec-2011		49A
flightstats	AA-185-JFK-LAX	2011-12-14 9:00 PM	2011-12-14 9:00 PM (Estimated)		2011-12-14 12:23 AM	2011-12-14 12:23 AM (Estimated)	
quicktrip	AA-185-JFK-LAX	2011-12-14 9:00 PM	2011-12-14 9:00 PM (Estimated)		2011-12-14 12:23 AM	2011-12-14 12:23 AM (Estimated)	
world-flight-tracker	AA-185-JFK-LAX	2011-12-14 9:00 PM	2011-12-14 9:00 PM (Estimated)		2011-12-14 12:23 AM	2011-12-14 12:23 AM (Estimated)	
flightview	AA-185-JFK-LAX	9:00 PM, Dec 14		Terminal 8 - 46	12:23 AM, Dec 15		Terminal 4 - 49A
panynj	AA-185-JFK-LAX	9:00 PM, Dec 14		Terminal 8 - 46	12:23 AM, Dec 15		Terminal 4 - 49A
gofox	AA-185-JFK-LAX	9:00 PM, Dec 14			12:23 AM, Dec 15		
foxbusiness	AA-185-JFK-LAX	9:00 PM, Dec 14		Terminal 8 - 46	12:23 AM, Dec 15		Terminal 4 - 49A
allegiantair	AA-185-JFK-LAX	9:00 PM, Dec 14		Terminal 8 - 46	12:23 AM, Dec 15		Terminal 4 - 49A
boston	AA-185-JFK-LAX	9:00 PM, Dec 14	Not Available		12:23 AM, Dec 15	Not Available	
travelocity	AA-185-JFK-LAX	Dec 14 - 9:00pm	Dec 14 - Not Available	46/8	Dec 15 - 12:23am	Dec 15 - Not Available	49A/T4
orbitz	AA-185-JFK-LAX	9:00pDec 14		 46	12:23aDec 15		 49A
weather	AA-185-JFK-LAX	2011-12-14 09:00 PM	2011-12-14 09:10 PM		2011-12-14 12:23 AM	2011-12-14 12:13 AM	
flightwise	AA-185-JFK-LAX	2011-12-14 09:00PM EST	2011-12-14 09:10PM EST	 46 	2011-12-14 12:03AM PST	2011-12-14 12:13AM PST	 49A 
flightarrival	AA-185-JFK-LAX	9:00 PM, Dec 14	Not Available		12:23 AM, Dec 15	Not Available	
aa	AA-3592-MIA-CLE	December 14, 2011               03:15 PM    	December 14, 2011               03:12 PM    	 D55	December 14, 2011               06:10 PM    	December 14, 2011               06:13 PM    	 A3    
flightexplorer	AA-3592-MIA-CLE		12/14/2011 3:25PM EST			12/14/2011 5:56PM EST	
airtravelcenter	AA-3592-MIA-CLE		12/14/11 3:25 PM (-05:00)			12/14/11 5:56 PM (-05:00)	
myrateplan	AA-3592-MIA-CLE		12/14/11 3:25 PM (-05:00)			12/14/11 5:56 PM (-05:00)	
helloflight	AA-3592-MIA-CLE		12/14/11 3:25 PM (-05:00)			12/14/11 5:56 PM (-05:00)	
flytecomm	AA-3592-MIA-CLE		12/14/11 3:25 PM (-05:00)			12/14/11 5:56 PM (-05:00)	
flightaware	AA-3592-MIA-CLE	2011-12-14 03:15PM EST	2011-12-14 03:25PM EST	 D55 	2011-12-14 06:05PM EST	2011-12-14 06:06PM EST	 A3 
wunderground	AA-3592-MIA-CLE	2011-12-14 03:15PM EST	2011-12-14 03:25PM EST	 D55 	2011-12-14 06:05PM EST	2011-12-14 06:06PM EST	 A3 
flights	AA-3592-MIA-CLE	03:15 PM  Wed 14-Dec-2011	03:12 PM  Wed 14-Dec-2011	D55	06:10 PM  Wed 14-Dec-2011	06:13 PM  Wed 14-Dec-2011	A3
businesstravellogue	AA-3592-MIA-CLE	03:15 PM  Wed 14-Dec-2011	03:12 PM  Wed 14-Dec-2011	D55	06:10 PM  Wed 14-Dec-2011	06:13 PM  Wed 14-Dec-2011	A3
flylouisville	AA-3592-MIA-CLE	03:15 PM  Wed 14-Dec-2011	03:12 PM  Wed 14-Dec-2011	D55	06:10 PM  Wed 14-Dec-2011	06:13 PM  Wed 14-Dec-2011	A3
flightstats	AA-3592-MIA-CLE	2011-12-14 3:15 PM	2011-12-14 3:12 PM		2011-12-14 6:10 PM	2011-12-14 6:13 PM	
quicktrip	AA-3592-MIA-CLE	2011-12-14 3:15 PM	2011-12-14 3:12 PM		2011-12-14 6:10 PM	2011-12-14 6:13 PM	
world-flight-tracker	AA-3592-MIA-CLE	2011-12-14 3:15 PM	2011-12-14 3:12 PM		2011-12-14 6:10 PM	2011-12-14 6:13 PM	
flightview	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
panynj	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
gofox	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
foxbusiness	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
allegiantair	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
boston	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
travelocity	AA-3592-MIA-CLE	Dec 14 - 3:15pm	Dec 14 - 3:12pm	D55	Dec 14 - 6:10pm	Dec 14 - 6:13pm	A3
orbitz	AA-3592-MIA-CLE	3:15pDec 14	3:12pDec 14	 D55	6:10pDec 14	6:13pDec 14	 A3
weather	AA-3592-MIA-CLE	2011-12-14 03:15 PM			2011-12-14 06:10 PM		
flightwise	AA-3592-MIA-CLE	2011-12-14 03:15PM EST	2011-12-14 03:25PM EST	 D55 	2011-12-14 06:05PM EST	2011-12-14 06:06PM EST	 A3 
flightarrival	AA-3592-MIA-CLE	3:15 PM, Dec 14	3:25 PM, Dec 14		6:10 PM, Dec 14	6:07 PM, Dec 14	
ua	UA-6219-BUR-DEN	Wed, Dec 14 2:15 PM	Wed, Dec 14 2:13 PM	--	Wed, Dec 14 5:30 PM	Wed, Dec 14 5:27 PM	B75
flightexplorer	UA-6219-BUR-DEN		12/14/2011 2:29PM PST			12/14/2011 5:28PM MST	
airtravelcenter	UA-6219-BUR-DEN	12/14/11 2:15 PM (-08:00)			12/14/11 5:30 PM (-07:00)		
myrateplan	UA-6219-BUR-DEN	12/14/11 2:15 PM (-08:00)			12/14/11 5:30 PM (-07:00)		
helloflight	UA-6219-BUR-DEN	12/14/11 2:15 PM (-08:00)			12/14/11 5:30 PM (-07:00)		
flytecomm	UA-6219-BUR-DEN	12/14/11 2:15 PM (-08:00)			12/14/11 5:30 PM (-07:00)		
flights	UA-6219-BUR-DEN		2011-12-14 02:13 PM			2011-12-14 05:27 PM	B75
businesstravellogue	UA-6219-BUR-DEN		2011-12-14 02:13 PM			2011-12-14 05:27 PM	B75
flylouisville	UA-6219-BUR-DEN		2011-12-14 02:13 PM			2011-12-14 05:27 PM	B75
flightview	UA-6219-BUR-DEN		2:29 PMDec 14			5:27 PMDec 14	
panynj	UA-6219-BUR-DEN		2:29 PMDec 14			5:27 PMDec 14	
gofox	UA-6219-BUR-DEN		2:29 PMDec 14			5:27 PMDec 14	
foxbusiness	UA-6219-BUR-DEN		2:29 PMDec 14			5:27 PMDec 14	
allegiantair	UA-6219-BUR-DEN		2:29 PMDec 14			5:27 PMDec 14	
boston	UA-6219-BUR-DEN		2:29 PMDec 14			5:28 PMDec 14	
travelocity	UA-6219-BUR-DEN	Dec 14 - Not Available	Dec 14 - 2:28pm	CHK	Dec 14 - Not Available	Dec 14 - 5:27pm	B75
orbitz	UA-6219-BUR-DEN	2:15pDec 14	2:13pDec 14	 -	5:30pDec 14	5:27pDec 14	 B75
weather	UA-6219-BUR-DEN	2011-12-14 02:15 PM			2011-12-14 05:30 PM		
den	UA-6219-BUR-DEN				2011-12-14 5:30 PM		B75
usatoday	UA-6219-BUR-DEN	2011-12-14 02:15 PM			2011-12-14 05:30 PM		
mytripandmore	UA-6219-BUR-DEN	Dec 14 - Not Available	Dec 14 - 2:28pm	CHK	Dec 14 - Not Available	Dec 14 - 5:27pm	B75
ua	UA-3925-IAD-ORF	Wed, Dec 14 8:42 AM	Wed, Dec 14 8:32 AM	A2G	Wed, Dec 14 9:55 AM	Wed, Dec 14 9:35 AM	--
flightexplorer	UA-3925-IAD-ORF		12/14/2011 8:55AM EST			12/14/2011 9:36AM EST	
airtravelcenter	UA-3925-IAD-ORF		12/14/11 8:55 AM (-05:00)			12/14/11 9:36 AM (-05:00)	
myrateplan	UA-3925-IAD-ORF		12/14/11 8:55 AM (-05:00)			12/14/11 9:36 AM (-05:00)	
helloflight	UA-3925-IAD-ORF		12/14/11 8:55 AM (-05:00)			12/14/11 9:36 AM (-05:00)	
flytecomm	UA-3925-IAD-ORF		12/14/11 8:55 AM (-05:00)			12/14/11 9:36 AM (-05:00)	
flightaware	UA-3925-IAD-ORF	2011-12-14 08:42AM EST	2011-12-14 09:00AM EST	 A2G 	2011-12-14 09:20AM EST	2011-12-14 09:38AM EST	
wunderground	UA-3925-IAD-ORF	2011-12-14 08:42AM EST	2011-12-14 09:00AM EST	 A2G 	2011-12-14 09:20AM EST	2011-12-14 09:38AM EST	
flights	UA-3925-IAD-ORF		2011-12-14 08:32 AM	A2		2011-12-14 09:35 AM	
businesstravellogue	UA-3925-IAD-ORF		2011-12-14 08:32 AM	A2		2011-12-14 09:35 AM	
flylouisville	UA-3925-IAD-ORF		2011-12-14 08:32 AM	A2		2011-12-14 09:35 AM	
flightstats	UA-3925-IAD-ORF	2011-12-14 8:42 AM	2011-12-14 8:32 AM		2011-12-14 9:55 AM	2011-12-14 9:35 AM	
quicktrip	UA-3925-IAD-ORF	2011-12-14 8:42 AM	2011-12-14 8:32 AM		2011-12-14 9:55 AM	2011-12-14 9:35 AM	
flightview	UA-3925-IAD-ORF		8:55 AMDec 14			9:35 AMDec 14	
panynj	UA-3925-IAD-ORF		8:55 AMDec 14			9:35 AMDec 14	
gofox	UA-3925-IAD-ORF		8:55 AMDec 14			9:35 AMDec 14	
foxbusiness	UA-3925-IAD-ORF		8:55 AMDec 14			9:35 AMDec 14	
allegiantair	UA-3925-IAD-ORF		8:55 AMDec 14			9:35 AMDec 14	
boston	UA-3925-IAD-ORF		8:55 AMDec 14			9:30 AMDec 14	
travelocity	UA-3925-IAD-ORF	Dec 14 - Not Available	Dec 14 - 8:54am	A2G	Dec 14 - Not Available	Dec 14 - 9:35am	CHK
orbitz	UA-3925-IAD-ORF	8:42aDec 14	8:32aDec 14	 A2G	9:55aDec 14	9:35aDec 14	 -
weather	UA-3925-IAD-ORF	2011-12-14 08:42 AM			2011-12-14 09:55 AM		
mytripandmore	UA-3925-IAD-ORF	8:42aDec 14	8:32aDec 14	 A2G	9:55aDec 14	9:35aDec 14	 -
flightarrival	UA-3925-IAD-ORF	2011-12-14 08:42 AM			2011-12-14 09:55 AM		
ua	UA-1977-CLT-CVG	Wed, Dec 14 11:45 AM	Wed, Dec 14 11:45 AM	E5A	Wed, Dec 14 1:14 PM	Wed, Dec 14 1:11 PM	7
airtravelcenter	UA-1977-CLT-CVG		12/14/11 11:58 AM (-05:00)			12/14/11 12:55 PM (-05:00)	
myrateplan	UA-1977-CLT-CVG		12/14/11 11:58 AM (-05:00)			12/14/11 12:55 PM (-05:00)	
helloflight	UA-1977-CLT-CVG		12/14/11 11:58 AM (-05:00)			12/14/11 12:55 PM (-05:00)	
flytecomm	UA-1977-CLT-CVG		12/14/11 11:58 AM (-05:00)			12/14/11 12:55 PM (-05:00)	
flights	UA-1977-CLT-CVG		2011-12-14 11:33 AM	E5A		2011-12-14 01:11 PM	7
businesstravellogue	UA-1977-CLT-CVG		2011-12-14 11:33 AM	E5A		2011-12-14 01:11 PM	7
flylouisville	UA-1977-CLT-CVG		2011-12-14 11:33 AM	E5A		2011-12-14 01:11 PM	7
flightstats	UA-1977-CLT-CVG	2011-12-14 11:45 AM	2011-12-14 11:33 AM		2011-12-14 1:14 PM	2011-12-14 1:11 PM	
quicktrip	UA-1977-CLT-CVG	2011-12-14 11:45 AM	2011-12-14 11:33 AM		2011-12-14 1:14 PM	2011-12-14 1:11 PM	
flightview	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
panynj	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
gofox	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
foxbusiness	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
allegiantair	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
boston	UA-1977-CLT-CVG		11:59 AMDec 14			1:04 PMDec 14	
travelocity	UA-1977-CLT-CVG	Dec 14 - 11:45am	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 1:14pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1977-CLT-CVG	11:45aDec 14	11:33aDec 14	 -	1:14pDec 14	1:11pDec 14	 -
weather	UA-1977-CLT-CVG	2011-12-14 11:45 AM			2011-12-14 01:14 PM		
mytripandmore	UA-1977-CLT-CVG	11:45aDec 14	11:33aDec 14	 -	1:14pDec 14	1:11pDec 14	 -
flightarrival	UA-1977-CLT-CVG	2011-12-14 11:45 AM			2011-12-14 01:14 PM		
aa	AA-393-DFW-DEN	December 14, 2011               06:55 AM    	December 14, 2011               06:49 AM    	 A19	December 14, 2011               07:55 AM    	December 14, 2011               07:43 AM    	 A49    
flightexplorer	AA-393-DFW-DEN		12/14/2011 7:02AM CST			12/14/2011 7:38AM MST	
airtravelcenter	AA-393-DFW-DEN		12/14/11 7:02 AM (-06:00)			12/14/11 7:38 AM (-07:00)	
flightaware	AA-393-DFW-DEN	2011-12-14 06:55AM CST	2011-12-14 07:02AM CST	 A19 	2011-12-14 07:43AM MST	2011-12-14 07:32AM MST	 A49 
wunderground	AA-393-DFW-DEN	2011-12-14 06:55AM CST	2011-12-14 07:02AM CST	 A19 	2011-12-14 07:43AM MST	2011-12-14 07:32AM MST	 A49 
flights	AA-393-DFW-DEN	06:55 AM  Wed 14-Dec-2011	06:49 AM  Wed 14-Dec-2011	A19	07:55 AM  Wed 14-Dec-2011	07:43 AM  Wed 14-Dec-2011	A49
businesstravellogue	AA-393-DFW-DEN	06:55 AM  Wed 14-Dec-2011	06:49 AM  Wed 14-Dec-2011	A19	07:55 AM  Wed 14-Dec-2011	07:43 AM  Wed 14-Dec-2011	A49
flylouisville	AA-393-DFW-DEN	06:55 AM  Wed 14-Dec-2011	06:49 AM  Wed 14-Dec-2011	A19	07:55 AM  Wed 14-Dec-2011	07:43 AM  Wed 14-Dec-2011	A49
flightstats	AA-393-DFW-DEN	2011-12-14 6:55 AM	2011-12-14 6:49 AM		2011-12-14 7:55 AM	2011-12-14 7:43 AM	
quicktrip	AA-393-DFW-DEN	2011-12-14 6:55 AM	2011-12-14 6:49 AM		2011-12-14 7:55 AM	2011-12-14 7:43 AM	
world-flight-tracker	AA-393-DFW-DEN	2011-12-14 6:55 AM	2011-12-14 6:49 AM		2011-12-14 7:55 AM	2011-12-14 7:43 AM	
flightview	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
panynj	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
gofox	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
foxbusiness	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
allegiantair	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
boston	AA-393-DFW-DEN	6:55 AM, Dec 14	7:02 AM, Dec 14		7:55 AM, Dec 14	7:38 AM, Dec 14	
travelocity	AA-393-DFW-DEN	Dec 14 - 6:55am	Dec 14 - 6:49am	A19/A	Dec 14 - 7:55am	Dec 14 - 7:43am	A49
orbitz	AA-393-DFW-DEN	6:55aDec 14	6:49aDec 14	 A19	7:55aDec 14	7:43aDec 14	 A49
weather	AA-393-DFW-DEN	2011-12-14 06:55 AM	2011-12-14 07:02 AM		2011-12-14 07:55 AM	2011-12-14 07:34 AM	
den	AA-393-DFW-DEN				2011-12-14 7:55 AM		A49
ifly	AA-393-DFW-DEN	2011-12-14 6:55 AM	2011-12-14 6:49 AM		2011-12-14 7:55 AM	2011-12-14 7:43 AM	
flightwise	AA-393-DFW-DEN	2011-12-14 06:55AM CST	2011-12-14 07:02AM CST	 A19 	2011-12-14 07:43AM MST	2011-12-14 07:32AM MST	 A49 
aa	AA-3508-ATL-MIA	December 14, 2011               07:40 PM    	December 14, 2011               07:34 PM    	 T10	December 14, 2011               09:40 PM    	December 14, 2011               09:29 PM    	 D60B    
airtravelcenter	AA-3508-ATL-MIA		12/14/11 7:54 PM (-05:00)			12/14/11 9:24 PM (-05:00)	
myrateplan	AA-3508-ATL-MIA		12/14/11 7:54 PM (-05:00)			12/14/11 9:24 PM (-05:00)	
helloflight	AA-3508-ATL-MIA		12/14/11 7:54 PM (-05:00)			12/14/11 9:24 PM (-05:00)	
flytecomm	AA-3508-ATL-MIA		12/14/11 7:54 PM (-05:00)			12/14/11 9:24 PM (-05:00)	
flightaware	AA-3508-ATL-MIA	2011-12-14 07:40PM EST	2011-12-14 07:53PM EST	 T10 	2011-12-14 09:30PM EST	2011-12-14 09:21PM EST	 D60B 
wunderground	AA-3508-ATL-MIA	2011-12-14 07:40PM EST	2011-12-14 07:53PM EST	 T10 	2011-12-14 09:30PM EST	2011-12-14 09:21PM EST	 D60B 
flights	AA-3508-ATL-MIA	07:40 PM  Wed 14-Dec-2011	07:34 PM  Wed 14-Dec-2011	T10	09:40 PM  Wed 14-Dec-2011	09:29 PM  Wed 14-Dec-2011	D60
businesstravellogue	AA-3508-ATL-MIA	07:40 PM  Wed 14-Dec-2011	07:34 PM  Wed 14-Dec-2011	T10	09:40 PM  Wed 14-Dec-2011	09:29 PM  Wed 14-Dec-2011	D60
flylouisville	AA-3508-ATL-MIA	07:40 PM  Wed 14-Dec-2011	07:34 PM  Wed 14-Dec-2011	T10	09:40 PM  Wed 14-Dec-2011	09:29 PM  Wed 14-Dec-2011	D60
flightstats	AA-3508-ATL-MIA	2011-12-14 7:40 PM	2011-12-14 7:34 PM		2011-12-14 9:40 PM	2011-12-14 9:29 PM	
quicktrip	AA-3508-ATL-MIA	2011-12-14 7:40 PM	2011-12-14 7:34 PM		2011-12-14 9:40 PM	2011-12-14 9:29 PM	
world-flight-tracker	AA-3508-ATL-MIA	2011-12-14 7:40 PM	2011-12-14 7:34 PM		2011-12-14 9:40 PM	2011-12-14 9:29 PM	
flightview	AA-3508-ATL-MIA	7:40 PM, Dec 14	7:54 PM, Dec 14	T10	9:40 PM, Dec 14	9:29 PM, Dec 14	Terminal D - D60
panynj	AA-3508-ATL-MIA	7:40 PM, Dec 14	7:54 PM, Dec 14	T10	9:40 PM, Dec 14	9:29 PM, Dec 14	Terminal D - D60
gofox	AA-3508-ATL-MIA	7:40 PM, Dec 14	7:54 PM, Dec 14		9:40 PM, Dec 14	9:29 PM, Dec 14	
foxbusiness	AA-3508-ATL-MIA	7:40 PM, Dec 14	7:54 PM, Dec 14	T10	9:40 PM, Dec 14	9:29 PM, Dec 14	Terminal D - D60
