CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
airtravelcenter	UA-1974-CVG-CLT	12/18/11 7:59 PM (-05:00)			12/18/11 9:25 PM (-05:00)		
myrateplan	UA-1974-CVG-CLT	12/18/11 7:59 PM (-05:00)			12/18/11 9:25 PM (-05:00)		
helloflight	UA-1974-CVG-CLT	12/18/11 7:59 PM (-05:00)			12/18/11 9:25 PM (-05:00)		
flytecomm	UA-1974-CVG-CLT	12/18/11 7:59 PM (-05:00)			12/18/11 9:25 PM (-05:00)		
flights	UA-1974-CVG-CLT		2011-12-18 08:03 PM	7		2011-12-18 09:17 PM	E17
businesstravellogue	UA-1974-CVG-CLT		2011-12-18 08:03 PM	7		2011-12-18 09:17 PM	E17
flylouisville	UA-1974-CVG-CLT		2011-12-18 08:03 PM	7		2011-12-18 09:17 PM	E17
flightstats	UA-1974-CVG-CLT	2011-12-18 7:59 PM	2011-12-18 8:03 PM		2011-12-18 9:25 PM	2011-12-18 9:17 PM	
quicktrip	UA-1974-CVG-CLT	2011-12-18 7:59 PM	2011-12-18 8:03 PM		2011-12-18 9:25 PM	2011-12-18 9:17 PM	
flightview	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
panynj	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
gofox	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
foxbusiness	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
allegiantair	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
boston	UA-1974-CVG-CLT		8:19 PMDec 18			9:13 PMDec 18	
travelocity	UA-1974-CVG-CLT	Dec 18 - 7:59pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 9:25pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-1974-CVG-CLT	7:59pDec 18	8:03pDec 18	 -	9:25pDec 18	9:17pDec 18	 -
weather	UA-1974-CVG-CLT	2011-12-18 07:59 PM			2011-12-18 09:25 PM		
ifly	UA-1974-CVG-CLT	2011-12-18 7:59 PM	2011-12-18 8:03 PM		2011-12-18 9:25 PM	2011-12-18 9:17 PM	
mytripandmore	UA-1974-CVG-CLT	7:59pDec 18	8:03pDec 18	 -	9:25pDec 18	9:17pDec 18	 -
ua	UA-2708-EWR-CLT	Sun, Dec 18 2:55 PM	Sun, Dec 18 2:55 PM	A37	Sun, Dec 18 4:53 PM	Sun, Dec 18 4:31 PM	C19
airtravelcenter	UA-2708-EWR-CLT		12/18/11 3:06 PM (-05:00)			12/18/11 4:24 PM (-05:00)	
myrateplan	UA-2708-EWR-CLT		12/18/11 3:06 PM (-05:00)			12/18/11 4:24 PM (-05:00)	
helloflight	UA-2708-EWR-CLT		12/18/11 3:06 PM (-05:00)			12/18/11 4:24 PM (-05:00)	
flytecomm	UA-2708-EWR-CLT		12/18/11 3:06 PM (-05:00)			12/18/11 4:24 PM (-05:00)	
flights	UA-2708-EWR-CLT		2011-12-18 02:51 PM	37		2011-12-18 04:31 PM	C19
businesstravellogue	UA-2708-EWR-CLT		2011-12-18 02:51 PM	37		2011-12-18 04:31 PM	C19
flylouisville	UA-2708-EWR-CLT		2011-12-18 02:51 PM	37		2011-12-18 04:31 PM	C19
flightstats	UA-2708-EWR-CLT	2011-12-18 2:55 PM	2011-12-18 2:51 PM		2011-12-18 4:53 PM	2011-12-18 4:31 PM	
quicktrip	UA-2708-EWR-CLT	2011-12-18 2:55 PM	2011-12-18 2:51 PM		2011-12-18 4:53 PM	2011-12-18 4:31 PM	
flightview	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
panynj	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
gofox	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
foxbusiness	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
allegiantair	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
boston	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
travelocity	UA-2708-EWR-CLT	Dec 18 - 2:55pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 4:53pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-2708-EWR-CLT	2:55pDec 18	2:51pDec 18	 -	4:53pDec 18	4:31pDec 18	 -
weather	UA-2708-EWR-CLT	2011-12-18 02:55 PM			2011-12-18 04:53 PM		
ifly	UA-2708-EWR-CLT	2011-12-18 2:55 PM	2011-12-18 2:51 PM		2011-12-18 4:53 PM	2011-12-18 4:31 PM	
usatoday	UA-2708-EWR-CLT		3:06 PMDec 18			4:25 PMDec 18	
flightarrival	UA-2708-EWR-CLT	2011-12-18 2:55 PM	2011-12-18 2:51 PM		2011-12-18 4:53 PM	2011-12-18 4:31 PM	
CO	CO-53-LAX-IAH	Sun., Dec.18, 2011 2:50 p.m.	Sun., Dec.18, 2011 2:50 p.m.		Sun., Dec.18, 2011 8:01 p.m.	Sun., Dec.18, 2011 7:53 p.m.	
airtravelcenter	CO-53-LAX-IAH	12/18/11 2:50 PM (-08:00)			12/18/11 8:01 PM (-06:00)		
myrateplan	CO-53-LAX-IAH	12/18/11 2:50 PM (-08:00)			12/18/11 8:01 PM (-06:00)		
helloflight	CO-53-LAX-IAH	12/18/11 2:50 PM (-08:00)			12/18/11 8:01 PM (-06:00)		
flytecomm	CO-53-LAX-IAH	12/18/11 2:50 PM (-08:00)			12/18/11 8:01 PM (-06:00)		
flights	CO-53-LAX-IAH		2011-12-18 02:50 PM	62		2011-12-18 07:53 PM	43
businesstravellogue	CO-53-LAX-IAH		2011-12-18 02:50 PM	62		2011-12-18 07:53 PM	43
flylouisville	CO-53-LAX-IAH		2011-12-18 02:50 PM	62		2011-12-18 07:53 PM	43
flightstats	CO-53-LAX-IAH	2011-12-18 2:50 PM	2011-12-18 2:50 PM		2011-12-18 8:01 PM	2011-12-18 7:53 PM	
quicktrip	CO-53-LAX-IAH	2011-12-18 2:50 PM	2011-12-18 2:50 PM		2011-12-18 8:01 PM	2011-12-18 7:53 PM	
flightview	CO-53-LAX-IAH		3:00 PMDec 18			7:53 PMDec 18	
panynj	CO-53-LAX-IAH		3:00 PMDec 18			7:53 PMDec 18	
gofox	CO-53-LAX-IAH		3:00 PMDec 18			7:53 PMDec 18	
foxbusiness	CO-53-LAX-IAH		3:00 PMDec 18			7:53 PMDec 18	
allegiantair	CO-53-LAX-IAH		3:00 PMDec 18			7:53 PMDec 18	
boston	CO-53-LAX-IAH		3:00 PMDec 18			7:46 PMDec 18	
orbitz	CO-53-LAX-IAH	2:50pDec 18	2:50pDec 18	 62	8:01pDec 18	7:53pDec 18	 43
weather	CO-53-LAX-IAH	2011-12-18 02:50 PM			2011-12-18 08:01 PM		
usatoday	CO-53-LAX-IAH		3:00 PMDec 18			7:46 PMDec 18	
CO	CO-1030-DEN-IAH	Sun., Dec.18, 2011 2:20 p.m.	Sun., Dec.18, 2011 2:20 p.m.		Sun., Dec.18, 2011 5:46 p.m.	Sun., Dec.18, 2011 5:32 p.m.	
airtravelcenter	CO-1030-DEN-IAH	12/18/11 2:20 PM (-07:00)			12/18/11 5:46 PM (-06:00)		
myrateplan	CO-1030-DEN-IAH	12/18/11 2:20 PM (-07:00)			12/18/11 5:46 PM (-06:00)		
helloflight	CO-1030-DEN-IAH	12/18/11 2:20 PM (-07:00)			12/18/11 5:46 PM (-06:00)		
flytecomm	CO-1030-DEN-IAH	12/18/11 2:20 PM (-07:00)			12/18/11 5:46 PM (-06:00)		
flights	CO-1030-DEN-IAH		2011-12-18 02:20 PM	B16		2011-12-18 05:32 PM	45
businesstravellogue	CO-1030-DEN-IAH		2011-12-18 02:20 PM	B16		2011-12-18 05:32 PM	45
flylouisville	CO-1030-DEN-IAH		2011-12-18 02:20 PM	B16		2011-12-18 05:32 PM	45
flightstats	CO-1030-DEN-IAH	2011-12-18 2:20 PM	2011-12-18 2:20 PM		2011-12-18 5:46 PM	2011-12-18 5:32 PM	
quicktrip	CO-1030-DEN-IAH	2011-12-18 2:20 PM	2011-12-18 2:20 PM		2011-12-18 5:46 PM	2011-12-18 5:32 PM	
flightview	CO-1030-DEN-IAH		2:31 PMDec 18			5:32 PMDec 18	
panynj	CO-1030-DEN-IAH		2:31 PMDec 18			5:32 PMDec 18	
gofox	CO-1030-DEN-IAH		2:31 PMDec 18			5:32 PMDec 18	
foxbusiness	CO-1030-DEN-IAH		2:31 PMDec 18			5:32 PMDec 18	
allegiantair	CO-1030-DEN-IAH		2:31 PMDec 18			5:32 PMDec 18	
boston	CO-1030-DEN-IAH		2:31 PMDec 18			5:26 PMDec 18	
travelocity	CO-1030-DEN-IAH	Dec 18 - 2:20pm	Dec 18 - 2:20pm	B16	Dec 18 - 5:46pm	Dec 18 - 5:32pm	C-45
orbitz	CO-1030-DEN-IAH	2:20pDec 18	2:20pDec 18	 B16	5:46pDec 18	5:32pDec 18	 45
weather	CO-1030-DEN-IAH	2011-12-18 02:20 PM			2011-12-18 05:46 PM		
den	CO-1030-DEN-IAH	2011-12-18 2:20 PM		B16			
ifly	CO-1030-DEN-IAH	2011-12-18 2:20 PM	2011-12-18 2:20 PM		2011-12-18 5:46 PM	2011-12-18 5:32 PM	
usatoday	CO-1030-DEN-IAH	2011-12-18 02:20 PM			2011-12-18 05:46 PM		
flightarrival	CO-1030-DEN-IAH	2011-12-18 02:20 PM			2011-12-18 05:46 PM		
ua	UA-4288-EWR-STL	Sun, Dec 18 5:29 PM	Sun, Dec 18 5:29 PM	C136	Sun, Dec 18 7:21 PM	Sun, Dec 18 7:21 PM	A9
airtravelcenter	UA-4288-EWR-STL	12/18/11 5:29 PM (-05:00)			12/18/11 7:21 PM (-06:00)		
myrateplan	UA-4288-EWR-STL	12/18/11 5:29 PM (-05:00)			12/18/11 7:21 PM (-06:00)		
helloflight	UA-4288-EWR-STL	12/18/11 5:29 PM (-05:00)			12/18/11 7:21 PM (-06:00)		
flytecomm	UA-4288-EWR-STL	12/18/11 5:29 PM (-05:00)			12/18/11 7:21 PM (-06:00)		
flights	UA-4288-EWR-STL	2011-12-18 05:29 PM		130	2011-12-18 07:21 PM		A9
businesstravellogue	UA-4288-EWR-STL	2011-12-18 05:29 PM		130	2011-12-18 07:21 PM		A9
flylouisville	UA-4288-EWR-STL	2011-12-18 05:29 PM		130	2011-12-18 07:21 PM		A9
flightview	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
panynj	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
gofox	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
foxbusiness	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
allegiantair	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
boston	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
travelocity	UA-4288-EWR-STL	Dec 18 - 5:29pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 7:21pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-4288-EWR-STL	5:29pDec 18		 -	7:21pDec 18		 -
weather	UA-4288-EWR-STL	2011-12-18 05:29 PM			2011-12-18 07:21 PM		
flightarrival	UA-4288-EWR-STL	5:29 PMDec 18			7:21 PMDec 18		
aa	AA-3592-MIA-CLE	December 18, 2011               03:15 PM    	December 18, 2011               03:24 PM    	 D60F	December 18, 2011               06:10 PM    	December 18, 2011               06:38 PM    	 A1    
airtravelcenter	AA-3592-MIA-CLE		12/18/11 3:50 PM (-05:00)			12/18/11 6:27 PM (-05:00)	
myrateplan	AA-3592-MIA-CLE		12/18/11 3:50 PM (-05:00)			12/18/11 6:27 PM (-05:00)	
helloflight	AA-3592-MIA-CLE		12/18/11 3:50 PM (-05:00)			12/18/11 6:27 PM (-05:00)	
flytecomm	AA-3592-MIA-CLE		12/18/11 3:50 PM (-05:00)			12/18/11 6:27 PM (-05:00)	
flightaware	AA-3592-MIA-CLE	2011-12-18 03:15PM EST	2011-12-18 03:51PM EST	 D60F 	2011-12-18 06:06PM EST	2011-12-18 06:32PM EST	 A1 
wunderground	AA-3592-MIA-CLE	2011-12-18 03:15PM EST	2011-12-18 03:51PM EST	 D60F 	2011-12-18 06:06PM EST	2011-12-18 06:32PM EST	 A1 
flights	AA-3592-MIA-CLE	03:15 PM  Sun 18-Dec-2011	03:24 PM  Sun 18-Dec-2011	D60	06:10 PM  Sun 18-Dec-2011	06:38 PM  Sun 18-Dec-2011	A1
businesstravellogue	AA-3592-MIA-CLE	03:15 PM  Sun 18-Dec-2011	03:24 PM  Sun 18-Dec-2011	D60	06:10 PM  Sun 18-Dec-2011	06:38 PM  Sun 18-Dec-2011	A1
flylouisville	AA-3592-MIA-CLE	03:15 PM  Sun 18-Dec-2011	03:24 PM  Sun 18-Dec-2011	D60	06:10 PM  Sun 18-Dec-2011	06:38 PM  Sun 18-Dec-2011	A1
flightstats	AA-3592-MIA-CLE	2011-12-18 3:15 PM	2011-12-18 3:24 PM		2011-12-18 6:10 PM	2011-12-18 6:38 PM	
quicktrip	AA-3592-MIA-CLE	2011-12-18 3:15 PM	2011-12-18 3:24 PM		2011-12-18 6:10 PM	2011-12-18 6:38 PM	
world-flight-tracker	AA-3592-MIA-CLE	2011-12-18 3:15 PM	2011-12-18 3:24 PM		2011-12-18 6:10 PM	2011-12-18 6:38 PM	
flightview	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
panynj	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
gofox	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
foxbusiness	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
allegiantair	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
boston	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
travelocity	AA-3592-MIA-CLE	Dec 18 - 3:15pm	Dec 18 - 3:24pm	D60	Dec 18 - 6:10pm	Dec 18 - 6:38pm	A1
orbitz	AA-3592-MIA-CLE	3:15pDec 18	3:24pDec 18	 D60F	6:10pDec 18	6:38pDec 18	 A1
weather	AA-3592-MIA-CLE	2011-12-18 03:15 PM			2011-12-18 06:10 PM		
usatoday	AA-3592-MIA-CLE	3:15 PM, Dec 18	3:51 PM, Dec 18		6:10 PM, Dec 18	6:37 PM, Dec 18	
mytripandmore	AA-3592-MIA-CLE	3:15pDec 18	3:24pDec 18	 D60F	6:10pDec 18	6:38pDec 18	 A1
ua	UA-3925-IAD-ORF	Sun, Dec 18 8:42 AM	Sun, Dec 18 8:40 AM	A2A	Sun, Dec 18 9:55 AM	Sun, Dec 18 9:39 AM	--
flightexplorer	UA-3925-IAD-ORF		12/18/2011 9:02AM EST			12/18/2011 9:34AM EST	
airtravelcenter	UA-3925-IAD-ORF		12/18/11 9:02 AM (-05:00)			12/18/11 9:34 AM (-05:00)	
myrateplan	UA-3925-IAD-ORF		12/18/11 9:02 AM (-05:00)			12/18/11 9:34 AM (-05:00)	
helloflight	UA-3925-IAD-ORF		12/18/11 9:02 AM (-05:00)			12/18/11 9:34 AM (-05:00)	
flytecomm	UA-3925-IAD-ORF		12/18/11 9:02 AM (-05:00)			12/18/11 9:34 AM (-05:00)	
flightaware	UA-3925-IAD-ORF	2011-12-18 08:42AM EST	2011-12-18 08:52AM EST	 A2G 	2011-12-18 09:35AM EST	2011-12-18 09:45AM EST	
wunderground	UA-3925-IAD-ORF	2011-12-18 08:42AM EST	2011-12-18 08:52AM EST	 A2G 	2011-12-18 09:35AM EST	2011-12-18 09:45AM EST	
flights	UA-3925-IAD-ORF		2011-12-18 08:40 AM	A2		2011-12-18 09:39 AM	
businesstravellogue	UA-3925-IAD-ORF		2011-12-18 08:40 AM	A2		2011-12-18 09:39 AM	
flylouisville	UA-3925-IAD-ORF		2011-12-18 08:40 AM	A2		2011-12-18 09:39 AM	
flightstats	UA-3925-IAD-ORF	2011-12-18 8:42 AM	2011-12-18 8:40 AM		2011-12-18 9:55 AM	2011-12-18 9:39 AM	
quicktrip	UA-3925-IAD-ORF	2011-12-18 8:42 AM	2011-12-18 8:40 AM		2011-12-18 9:55 AM	2011-12-18 9:39 AM	
flightview	UA-3925-IAD-ORF		9:02 AMDec 18			9:39 AMDec 18	
panynj	UA-3925-IAD-ORF		9:02 AMDec 18			9:39 AMDec 18	
gofox	UA-3925-IAD-ORF		9:02 AMDec 18			9:39 AMDec 18	
foxbusiness	UA-3925-IAD-ORF		9:02 AMDec 18			9:39 AMDec 18	
allegiantair	UA-3925-IAD-ORF		9:02 AMDec 18			9:39 AMDec 18	
boston	UA-3925-IAD-ORF		9:02 AMDec 18			9:36 AMDec 18	
travelocity	UA-3925-IAD-ORF	Dec 18 - Not Available	Dec 18 - 9:01am	A2A	Dec 18 - Not Available	Dec 18 - 9:39am	CHK
orbitz	UA-3925-IAD-ORF	8:42aDec 18	8:40aDec 18	 A2A	9:55aDec 18	9:39aDec 18	 -
weather	UA-3925-IAD-ORF	2011-12-18 08:42 AM			2011-12-18 09:55 AM		
usatoday	UA-3925-IAD-ORF	2011-12-18 08:42 AM			2011-12-18 09:55 AM		
mytripandmore	UA-3925-IAD-ORF	8:42aDec 18	8:40aDec 18	 A2A	9:55aDec 18	9:39aDec 18	 -
flightarrival	UA-3925-IAD-ORF	2011-12-18 8:42 AM	2011-12-18 8:40 AM		2011-12-18 9:55 AM	2011-12-18 9:39 AM	
ua	UA-1977-CLT-CVG	Sun, Dec 18 11:50 AM	Sun, Dec 18 11:50 AM	E5A	Sun, Dec 18 1:21 PM	Sun, Dec 18 1:19 PM	7
airtravelcenter	UA-1977-CLT-CVG		12/18/11 12:05 PM (-05:00)			12/18/11 1:08 PM (-05:00)	
myrateplan	UA-1977-CLT-CVG		12/18/11 12:05 PM (-05:00)			12/18/11 1:08 PM (-05:00)	
helloflight	UA-1977-CLT-CVG		12/18/11 12:05 PM (-05:00)			12/18/11 1:08 PM (-05:00)	
flytecomm	UA-1977-CLT-CVG		12/18/11 12:05 PM (-05:00)			12/18/11 1:08 PM (-05:00)	
flights	UA-1977-CLT-CVG		2011-12-18 11:44 AM	E5A		2011-12-18 01:19 PM	7
businesstravellogue	UA-1977-CLT-CVG		2011-12-18 11:44 AM	E5A		2011-12-18 01:19 PM	7
flylouisville	UA-1977-CLT-CVG		2011-12-18 11:44 AM	E5A		2011-12-18 01:19 PM	7
flightstats	UA-1977-CLT-CVG	2011-12-18 11:50 AM	2011-12-18 11:44 AM		2011-12-18 1:21 PM	2011-12-18 1:19 PM	
quicktrip	UA-1977-CLT-CVG	2011-12-18 11:50 AM	2011-12-18 11:44 AM		2011-12-18 1:21 PM	2011-12-18 1:19 PM	
flightview	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
panynj	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
gofox	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
foxbusiness	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
allegiantair	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
boston	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
travelocity	UA-1977-CLT-CVG	Dec 18 - 11:50am	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 1:21pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-1977-CLT-CVG	11:50aDec 18	11:44aDec 18	 -	1:21pDec 18	1:19pDec 18	 -
weather	UA-1977-CLT-CVG	2011-12-18 11:50 AM			2011-12-18 01:21 PM		
mytripandmore	UA-1977-CLT-CVG	11:50aDec 18	11:44aDec 18	 -	1:21pDec 18	1:19pDec 18	 -
flightarrival	UA-1977-CLT-CVG		12:05 PMDec 18			1:19 PMDec 18	
aa	AA-393-DFW-DEN	December 18, 2011               06:55 AM    	December 18, 2011               06:49 AM    	 C29	December 18, 2011               07:55 AM    	December 18, 2011               07:39 AM    	 A49    
flightexplorer	AA-393-DFW-DEN		12/18/2011 7:00AM CST			12/18/2011 7:37AM MST	
airtravelcenter	AA-393-DFW-DEN		12/18/11 6:59 AM (-06:00)			12/18/11 7:37 AM (-07:00)	
myrateplan	AA-393-DFW-DEN		12/18/11 6:59 AM (-06:00)			12/18/11 7:37 AM (-07:00)	
helloflight	AA-393-DFW-DEN		12/18/11 6:59 AM (-06:00)			12/18/11 7:37 AM (-07:00)	
flytecomm	AA-393-DFW-DEN		12/18/11 6:59 AM (-06:00)			12/18/11 7:37 AM (-07:00)	
flightaware	AA-393-DFW-DEN	2011-12-18 06:55AM CST	2011-12-18 07:00AM CST	 C29 	2011-12-18 07:45AM MST	2011-12-18 07:31AM MST	 A49 
wunderground	AA-393-DFW-DEN	2011-12-18 06:55AM CST	2011-12-18 07:00AM CST	 C29 	2011-12-18 07:45AM MST	2011-12-18 07:31AM MST	 A49 
flights	AA-393-DFW-DEN	06:55 AM  Sun 18-Dec-2011	06:49 AM  Sun 18-Dec-2011	C29	07:55 AM  Sun 18-Dec-2011	07:39 AM  Sun 18-Dec-2011	A49
businesstravellogue	AA-393-DFW-DEN	06:55 AM  Sun 18-Dec-2011	06:49 AM  Sun 18-Dec-2011	C29	07:55 AM  Sun 18-Dec-2011	07:39 AM  Sun 18-Dec-2011	A49
flylouisville	AA-393-DFW-DEN	06:55 AM  Sun 18-Dec-2011	06:49 AM  Sun 18-Dec-2011	C29	07:55 AM  Sun 18-Dec-2011	07:39 AM  Sun 18-Dec-2011	A49
flightstats	AA-393-DFW-DEN	2011-12-18 6:55 AM	2011-12-18 6:49 AM		2011-12-18 7:55 AM	2011-12-18 7:39 AM	
quicktrip	AA-393-DFW-DEN	2011-12-18 6:55 AM	2011-12-18 6:49 AM		2011-12-18 7:55 AM	2011-12-18 7:39 AM	
world-flight-tracker	AA-393-DFW-DEN	2011-12-18 6:55 AM	2011-12-18 6:49 AM		2011-12-18 7:55 AM	2011-12-18 7:39 AM	
flightview	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18	C29	7:55 AM, Dec 18	7:37 AM, Dec 18	A49
panynj	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18	C29	7:55 AM, Dec 18	7:37 AM, Dec 18	A49
gofox	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18		7:55 AM, Dec 18	7:37 AM, Dec 18	
foxbusiness	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18	C29	7:55 AM, Dec 18	7:37 AM, Dec 18	A49
allegiantair	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18	C29	7:55 AM, Dec 18	7:37 AM, Dec 18	A49
boston	AA-393-DFW-DEN	6:55 AM, Dec 18	7:00 AM, Dec 18		7:55 AM, Dec 18	7:37 AM, Dec 18	
travelocity	AA-393-DFW-DEN	Dec 18 - 6:55am	Dec 18 - 6:49am	C29/C	Dec 18 - 7:55am	Dec 18 - 7:39am	A49
orbitz	AA-393-DFW-DEN	6:55aDec 18	6:49aDec 18	 C29	7:55aDec 18	7:39aDec 18	 A49
weather	AA-393-DFW-DEN	2011-12-18 06:55 AM	2011-12-18 07:00 AM		2011-12-18 07:55 AM	2011-12-18 07:32 AM	
den	AA-393-DFW-DEN				2011-12-18 7:55 AM		A49
flightwise	AA-393-DFW-DEN	2011-12-18 06:55AM CST	2011-12-18 07:00AM CST	 C29 	2011-12-18 07:45AM MST	2011-12-18 07:31AM MST	 A49 
flightarrival	AA-393-DFW-DEN	2011-12-18 06:55 AM	2011-12-18 07:00 AM		2011-12-18 07:55 AM	2011-12-18 07:32 AM	
aa	AA-3508-ATL-MIA	December 18, 2011               07:40 PM    	December 18, 2011               07:31 PM    	 T10	December 18, 2011               09:40 PM    	December 18, 2011               09:28 PM    	 D55    
flightexplorer	AA-3508-ATL-MIA		12/18/2011 7:57PM EST			12/18/2011 9:24PM EST	
airtravelcenter	AA-3508-ATL-MIA		12/18/11 7:57 PM (-05:00)			12/18/11 9:26 PM (-05:00)	
myrateplan	AA-3508-ATL-MIA		12/18/11 7:57 PM (-05:00)			12/18/11 9:26 PM (-05:00)	
helloflight	AA-3508-ATL-MIA		12/18/11 7:57 PM (-05:00)			12/18/11 9:26 PM (-05:00)	
flytecomm	AA-3508-ATL-MIA		12/18/11 7:57 PM (-05:00)			12/18/11 9:26 PM (-05:00)	
flightaware	AA-3508-ATL-MIA	2011-12-18 07:40PM EST	2011-12-18 07:57PM EST	 T10 	2011-12-18 09:29PM EST	2011-12-18 09:21PM EST	 D55 
wunderground	AA-3508-ATL-MIA	2011-12-18 07:40PM EST	2011-12-18 07:57PM EST	 T10 	2011-12-18 09:29PM EST	2011-12-18 09:21PM EST	 D55 
flights	AA-3508-ATL-MIA	07:40 PM  Sun 18-Dec-2011	07:31 PM  Sun 18-Dec-2011	T10	09:40 PM  Sun 18-Dec-2011	09:28 PM  Sun 18-Dec-2011	D55
businesstravellogue	AA-3508-ATL-MIA	07:40 PM  Sun 18-Dec-2011	07:31 PM  Sun 18-Dec-2011	T10	09:40 PM  Sun 18-Dec-2011	09:28 PM  Sun 18-Dec-2011	D55
flylouisville	AA-3508-ATL-MIA	07:40 PM  Sun 18-Dec-2011	07:31 PM  Sun 18-Dec-2011	T10	09:40 PM  Sun 18-Dec-2011	09:28 PM  Sun 18-Dec-2011	D55
flightstats	AA-3508-ATL-MIA	2011-12-18 7:40 PM	2011-12-18 7:31 PM		2011-12-18 9:40 PM	2011-12-18 9:28 PM	
quicktrip	AA-3508-ATL-MIA	2011-12-18 7:40 PM	2011-12-18 7:31 PM		2011-12-18 9:40 PM	2011-12-18 9:28 PM	
world-flight-tracker	AA-3508-ATL-MIA	2011-12-18 7:40 PM	2011-12-18 7:31 PM		2011-12-18 9:40 PM	2011-12-18 9:28 PM	
flightview	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18	T10	9:40 PM, Dec 18	9:28 PM, Dec 18	Terminal D - D55
panynj	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18	T10	9:40 PM, Dec 18	9:28 PM, Dec 18	Terminal D - D55
gofox	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18		9:40 PM, Dec 18	9:28 PM, Dec 18	
foxbusiness	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18	T10	9:40 PM, Dec 18	9:28 PM, Dec 18	Terminal D - D55
allegiantair	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18	T10	9:40 PM, Dec 18	9:28 PM, Dec 18	Terminal D - D55
boston	AA-3508-ATL-MIA	7:40 PM, Dec 18	7:57 PM, Dec 18		9:40 PM, Dec 18	9:22 PM, Dec 18	
travelocity	AA-3508-ATL-MIA	Dec 18 - 7:40pm	Dec 18 - 7:31pm	T10	Dec 18 - 9:40pm	Dec 18 - 9:28pm	D55
orbitz	AA-3508-ATL-MIA	7:40pDec 18	7:31pDec 18	 T10	9:40pDec 18	9:28pDec 18	 D55
