CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
flightstats	CO-1030-DEN-IAH	2012-01-02 2:25 PM	2012-01-02 2:36 PM		2012-01-02 5:51 PM	2012-01-02 5:51 PM	
quicktrip	CO-1030-DEN-IAH	2012-01-02 2:25 PM	2012-01-02 2:36 PM		2012-01-02 5:51 PM	2012-01-02 5:51 PM	
flightview	CO-1030-DEN-IAH		2:48 PMJan 02			5:51 PMJan 02	
panynj	CO-1030-DEN-IAH		2:48 PMJan 02			5:51 PMJan 02	
gofox	CO-1030-DEN-IAH		2:48 PMJan 02			5:51 PMJan 02	
foxbusiness	CO-1030-DEN-IAH		2:48 PMJan 02			5:51 PMJan 02	
allegiantair	CO-1030-DEN-IAH		2:48 PMJan 02			5:51 PMJan 02	
boston	CO-1030-DEN-IAH		2:48 PMJan 02			5:40 PMJan 02	
orbitz	CO-1030-DEN-IAH	2:25pJan 2	2:36pJan 2	 B18	5:51pJan 2	5:51pJan 2	 41
weather	CO-1030-DEN-IAH	2012-01-02 02:25 PM			2012-01-02 05:51 PM		
den	CO-1030-DEN-IAH	2012-01-02 2:25 PM		B18			
ua	UA-4288-EWR-STL	Mon, Jan 2 5:29 PM	Mon, Jan 2 5:29 PM	A23A	Mon, Jan 2 7:21 PM	Mon, Jan 2 7:21 PM	A9
airtravelcenter	UA-4288-EWR-STL	1/2/12 5:29 PM (-05:00)			1/2/12 7:21 PM (-06:00)		
myrateplan	UA-4288-EWR-STL	1/2/12 5:29 PM (-05:00)			1/2/12 7:21 PM (-06:00)		
helloflight	UA-4288-EWR-STL	1/2/12 5:29 PM (-05:00)			1/2/12 7:21 PM (-06:00)		
flytecomm	UA-4288-EWR-STL	1/2/12 5:29 PM (-05:00)			1/2/12 7:21 PM (-06:00)		
flights	UA-4288-EWR-STL	2012-01-02 05:29 PM		23A	2012-01-02 07:21 PM		A9
businesstravellogue	UA-4288-EWR-STL	2012-01-02 05:29 PM		23A	2012-01-02 07:21 PM		A9
flylouisville	UA-4288-EWR-STL	2012-01-02 05:29 PM		23A	2012-01-02 07:21 PM		A9
flightview	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
panynj	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
gofox	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
foxbusiness	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
allegiantair	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
boston	UA-4288-EWR-STL	5:29 PMJan 02			7:21 PMJan 02		
orbitz	UA-4288-EWR-STL	5:29pJan 2		 -	7:21pJan 2		 -
weather	UA-4288-EWR-STL	2012-01-02 05:29 PM			2012-01-02 07:21 PM		
usatoday	UA-4288-EWR-STL	2012-01-02 05:29 PM			2012-01-02 07:21 PM		
mytripandmore	UA-4288-EWR-STL	5:29pJan 2		 -	7:21pJan 2		 -
flightarrival	UA-4288-EWR-STL	2012-01-02 05:29 PM			2012-01-02 07:21 PM		
aa	AA-3592-MIA-CLE	January 2, 2012               03:15 PM    	January 2, 2012               03:38 PM    	 D55	January 2, 2012               06:10 PM    	January 2, 2012               07:03 PM    	 A1    
flightexplorer	AA-3592-MIA-CLE		1/2/2012 3:51PM EST			1/2/2012 6:19PM EST	
airtravelcenter	AA-3592-MIA-CLE		1/2/12 3:51 PM (-05:00)			1/2/12 6:06 PM (-05:00)	
myrateplan	AA-3592-MIA-CLE		1/2/12 3:51 PM (-05:00)			1/2/12 6:06 PM (-05:00)	
helloflight	AA-3592-MIA-CLE		1/2/12 3:51 PM (-05:00)			1/2/12 6:06 PM (-05:00)	
flytecomm	AA-3592-MIA-CLE		1/2/12 3:51 PM (-05:00)			1/2/12 6:06 PM (-05:00)	
flightaware	AA-3592-MIA-CLE	2012-01-02 03:15PM EST	2012-01-02 03:51PM EST	 D55 	2012-01-02 05:52PM EST	2012-01-02 06:06PM EST	 A1 
wunderground	AA-3592-MIA-CLE	2012-01-02 03:15PM EST	2012-01-02 03:51PM EST	 D55 	2012-01-02 05:52PM EST	2012-01-02 06:06PM EST	 A1 
flights	AA-3592-MIA-CLE	03:15 PM  Mon 02-Jan-2012	03:38 PM  Mon 02-Jan-2012	D55	06:10 PM  Mon 02-Jan-2012	07:03 PM  Mon 02-Jan-2012	A1
businesstravellogue	AA-3592-MIA-CLE	03:15 PM  Mon 02-Jan-2012	03:38 PM  Mon 02-Jan-2012	D55	06:10 PM  Mon 02-Jan-2012	07:03 PM  Mon 02-Jan-2012	A1
flylouisville	AA-3592-MIA-CLE	03:15 PM  Mon 02-Jan-2012	03:38 PM  Mon 02-Jan-2012	D55	06:10 PM  Mon 02-Jan-2012	07:03 PM  Mon 02-Jan-2012	A1
flightstats	AA-3592-MIA-CLE	2012-01-02 3:15 PM	2012-01-02 3:38 PM		2012-01-02 6:10 PM	2012-01-02 7:03 PM	
quicktrip	AA-3592-MIA-CLE	2012-01-02 3:15 PM	2012-01-02 3:38 PM		2012-01-02 6:10 PM	2012-01-02 7:03 PM	
world-flight-tracker	AA-3592-MIA-CLE	2012-01-02 3:15 PM	2012-01-02 3:38 PM		2012-01-02 6:10 PM	2012-01-02 7:03 PM	
flightview	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
panynj	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
gofox	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
foxbusiness	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
allegiantair	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
boston	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
orbitz	AA-3592-MIA-CLE	3:15pJan 2	3:38pJan 2	 D55	6:10pJan 2	7:03pJan 2	 A1
weather	AA-3592-MIA-CLE	2012-01-02 03:15 PM			2012-01-02 06:10 PM		
ifly	AA-3592-MIA-CLE	2012-01-02 3:15 PM	2012-01-02 3:38 PM		2012-01-02 6:10 PM	2012-01-02 7:03 PM	
usatoday	AA-3592-MIA-CLE	2012-01-02 03:15 PM			2012-01-02 06:10 PM		
flightarrival	AA-3592-MIA-CLE	3:15 PM, Jan 02	3:51 PM, Jan 02		6:10 PM, Jan 02	6:19 PM, Jan 02	
ua	UA-3925-IAD-ORF	Mon, Jan 2 8:42 AM	Mon, Jan 2 9:03 AM	A2G	Mon, Jan 2 9:55 AM	Mon, Jan 2 9:59 AM	--
flightexplorer	UA-3925-IAD-ORF		1/2/2012 9:17AM EST			1/2/2012 9:51AM EST	
airtravelcenter	UA-3925-IAD-ORF		1/2/12 9:17 AM (-05:00)			1/2/12 9:51 AM (-05:00)	
myrateplan	UA-3925-IAD-ORF		1/2/12 9:17 AM (-05:00)			1/2/12 9:51 AM (-05:00)	
helloflight	UA-3925-IAD-ORF		1/2/12 9:17 AM (-05:00)			1/2/12 9:51 AM (-05:00)	
flytecomm	UA-3925-IAD-ORF		1/2/12 9:17 AM (-05:00)			1/2/12 9:51 AM (-05:00)	
flightaware	UA-3925-IAD-ORF	2012-01-02 08:42AM EST	2012-01-02 08:52AM EST	 A2A 	2012-01-02 09:35AM EST	2012-01-02 09:45AM EST	
wunderground	UA-3925-IAD-ORF	2012-01-02 08:42AM EST	2012-01-02 08:52AM EST	 A2A 	2012-01-02 09:35AM EST	2012-01-02 09:45AM EST	
flights	UA-3925-IAD-ORF		2012-01-02 09:03 AM	A2		2012-01-02 09:59 AM	
businesstravellogue	UA-3925-IAD-ORF		2012-01-02 09:03 AM	A2		2012-01-02 09:59 AM	
flylouisville	UA-3925-IAD-ORF		2012-01-02 09:03 AM	A2		2012-01-02 09:59 AM	
flightstats	UA-3925-IAD-ORF	2012-01-02 8:42 AM	2012-01-02 9:03 AM		2012-01-02 9:55 AM	2012-01-02 9:59 AM	
quicktrip	UA-3925-IAD-ORF	2012-01-02 8:42 AM	2012-01-02 9:03 AM		2012-01-02 9:55 AM	2012-01-02 9:59 AM	
flightview	UA-3925-IAD-ORF		9:17 AMJan 02			9:59 AMJan 02	
panynj	UA-3925-IAD-ORF		9:17 AMJan 02			9:59 AMJan 02	
gofox	UA-3925-IAD-ORF		9:17 AMJan 02			9:59 AMJan 02	
foxbusiness	UA-3925-IAD-ORF		9:17 AMJan 02			9:59 AMJan 02	
allegiantair	UA-3925-IAD-ORF		9:17 AMJan 02			9:59 AMJan 02	
boston	UA-3925-IAD-ORF		9:17 AMJan 02			9:56 AMJan 02	
orbitz	UA-3925-IAD-ORF	8:42aJan 2	9:03aJan 2	 A2G	9:55aJan 2	9:59aJan 2	 -
weather	UA-3925-IAD-ORF	2012-01-02 08:42 AM			2012-01-02 09:55 AM		
ifly	UA-3925-IAD-ORF	2012-01-02 8:42 AM	2012-01-02 9:03 AM		2012-01-02 9:55 AM	2012-01-02 9:59 AM	
usatoday	UA-3925-IAD-ORF		9:17 AMJan 02			9:56 AMJan 02	
ua	UA-1977-CLT-CVG	Mon, Jan 2 11:50 AM	Mon, Jan 2 11:50 AM	E5	Mon, Jan 2 1:21 PM	Mon, Jan 2 1:37 PM	7
airtravelcenter	UA-1977-CLT-CVG		1/2/12 12:25 PM (-05:00)			1/2/12 1:34 PM (-05:00)	
myrateplan	UA-1977-CLT-CVG		1/2/12 12:25 PM (-05:00)			1/2/12 1:34 PM (-05:00)	
helloflight	UA-1977-CLT-CVG		1/2/12 12:25 PM (-05:00)			1/2/12 1:34 PM (-05:00)	
flytecomm	UA-1977-CLT-CVG		1/2/12 12:25 PM (-05:00)			1/2/12 1:34 PM (-05:00)	
flights	UA-1977-CLT-CVG		2012-01-02 11:45 AM	E5		2012-01-02 01:37 PM	7
businesstravellogue	UA-1977-CLT-CVG		2012-01-02 11:45 AM	E5		2012-01-02 01:37 PM	7
flylouisville	UA-1977-CLT-CVG		2012-01-02 11:45 AM	E5		2012-01-02 01:37 PM	7
flightstats	UA-1977-CLT-CVG	2012-01-02 11:50 AM	2012-01-02 11:45 AM		2012-01-02 1:21 PM	2012-01-02 1:37 PM	
quicktrip	UA-1977-CLT-CVG	2012-01-02 11:50 AM	2012-01-02 11:45 AM		2012-01-02 1:21 PM	2012-01-02 1:37 PM	
flightview	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
panynj	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
gofox	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
foxbusiness	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
allegiantair	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
boston	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
orbitz	UA-1977-CLT-CVG	11:50aJan 2	11:45aJan 2	 E5	1:21pJan 2	1:37pJan 2	 7
orbitz	UA-1977-CLT-CVG	11:50aJan 2	11:45aJan 2	 -	1:21pJan 2	1:37pJan 2	 -
weather	UA-1977-CLT-CVG	2012-01-02 11:50 AM			2012-01-02 01:21 PM		
usatoday	UA-1977-CLT-CVG		12:25 PMJan 02			1:36 PMJan 02	
aa	AA-393-DFW-DEN	January 2, 2012               06:55 AM    	January 2, 2012               06:57 AM    	 C35	January 2, 2012               07:55 AM    	January 2, 2012               08:04 AM    	 A49    
flightexplorer	AA-393-DFW-DEN		1/2/2012 7:17AM CST			1/2/2012 7:59AM MST	
airtravelcenter	AA-393-DFW-DEN		1/2/12 7:17 AM (-06:00)			1/2/12 7:59 AM (-07:00)	
myrateplan	AA-393-DFW-DEN		1/2/12 7:17 AM (-06:00)			1/2/12 7:59 AM (-07:00)	
helloflight	AA-393-DFW-DEN		1/2/12 7:17 AM (-06:00)			1/2/12 7:59 AM (-07:00)	
flytecomm	AA-393-DFW-DEN		1/2/12 7:17 AM (-06:00)			1/2/12 7:59 AM (-07:00)	
flightaware	AA-393-DFW-DEN	2012-01-02 06:55AM CST	2012-01-02 07:17AM CST	 C35 	2012-01-02 07:50AM MST	2012-01-02 07:53AM MST	 A49 
wunderground	AA-393-DFW-DEN	2012-01-02 06:55AM CST	2012-01-02 07:17AM CST	 C35 	2012-01-02 07:50AM MST	2012-01-02 07:53AM MST	 A49 
flights	AA-393-DFW-DEN	06:55 AM  Mon 02-Jan-2012	06:57 AM  Mon 02-Jan-2012	C35	07:55 AM  Mon 02-Jan-2012	08:04 AM  Mon 02-Jan-2012	A49
businesstravellogue	AA-393-DFW-DEN	06:55 AM  Mon 02-Jan-2012	06:57 AM  Mon 02-Jan-2012	C35	07:55 AM  Mon 02-Jan-2012	08:04 AM  Mon 02-Jan-2012	A49
flylouisville	AA-393-DFW-DEN	06:55 AM  Mon 02-Jan-2012	06:57 AM  Mon 02-Jan-2012	C35	07:55 AM  Mon 02-Jan-2012	08:04 AM  Mon 02-Jan-2012	A49
flightstats	AA-393-DFW-DEN	2012-01-02 6:55 AM	2012-01-02 6:57 AM		2012-01-02 7:55 AM	2012-01-02 8:04 AM	
quicktrip	AA-393-DFW-DEN	2012-01-02 6:55 AM	2012-01-02 6:57 AM		2012-01-02 7:55 AM	2012-01-02 8:04 AM	
world-flight-tracker	AA-393-DFW-DEN	2012-01-02 6:55 AM	2012-01-02 6:57 AM		2012-01-02 7:55 AM	2012-01-02 8:04 AM	
flightview	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02	C35	7:55 AM, Jan 02	7:59 AM, Jan 02	A49
panynj	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02	C35	7:55 AM, Jan 02	7:59 AM, Jan 02	A49
gofox	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02		7:55 AM, Jan 02	7:59 AM, Jan 02	
foxbusiness	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02	C35	7:55 AM, Jan 02	7:59 AM, Jan 02	A49
allegiantair	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02	C35	7:55 AM, Jan 02	7:59 AM, Jan 02	A49
boston	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02		7:55 AM, Jan 02	7:59 AM, Jan 02	
orbitz	AA-393-DFW-DEN	6:55aJan 2	6:57aJan 2	 C35	7:55aJan 2	8:04aJan 2	 A49
weather	AA-393-DFW-DEN	2012-01-02 06:55 AM	2012-01-02 07:17 AM		2012-01-02 07:55 AM	2012-01-02 07:53 AM	
den	AA-393-DFW-DEN				2012-01-02 7:55 AM		A49
flightarrival	AA-393-DFW-DEN	6:55 AM, Jan 02	7:17 AM, Jan 02		7:55 AM, Jan 02	7:59 AM, Jan 02	
aa	AA-3508-ATL-MIA	January 2, 2012               07:40 PM    	January 2, 2012               07:55 PM    	 T10	January 2, 2012               09:40 PM    	January 2, 2012               09:51 PM    	 D60F    
flightexplorer	AA-3508-ATL-MIA		1/2/2012 8:17PM EST			1/2/2012 9:45PM EST	
airtravelcenter	AA-3508-ATL-MIA		1/2/12 8:17 PM (-05:00)			1/2/12 9:45 PM (-05:00)	
myrateplan	AA-3508-ATL-MIA		1/2/12 8:17 PM (-05:00)			1/2/12 9:45 PM (-05:00)	
helloflight	AA-3508-ATL-MIA		1/2/12 8:17 PM (-05:00)			1/2/12 9:45 PM (-05:00)	
flytecomm	AA-3508-ATL-MIA		1/2/12 8:17 PM (-05:00)			1/2/12 9:45 PM (-05:00)	
flightaware	AA-3508-ATL-MIA	2012-01-02 07:40PM EST	2012-01-02 08:17PM EST	 T10 	2012-01-02 09:27PM EST	2012-01-02 09:43PM EST	 D60F 
wunderground	AA-3508-ATL-MIA	2012-01-02 07:40PM EST	2012-01-02 08:17PM EST	 T10 	2012-01-02 09:27PM EST	2012-01-02 09:43PM EST	 D60F 
flights	AA-3508-ATL-MIA	07:40 PM  Mon 02-Jan-2012	07:55 PM  Mon 02-Jan-2012	T10	09:40 PM  Mon 02-Jan-2012	09:51 PM  Mon 02-Jan-2012	D60
businesstravellogue	AA-3508-ATL-MIA	07:40 PM  Mon 02-Jan-2012	07:55 PM  Mon 02-Jan-2012	T10	09:40 PM  Mon 02-Jan-2012	09:51 PM  Mon 02-Jan-2012	D60
flylouisville	AA-3508-ATL-MIA	07:40 PM  Mon 02-Jan-2012	07:55 PM  Mon 02-Jan-2012	T10	09:40 PM  Mon 02-Jan-2012	09:51 PM  Mon 02-Jan-2012	D60
flightstats	AA-3508-ATL-MIA	2012-01-02 7:40 PM	2012-01-02 7:55 PM		2012-01-02 9:40 PM	2012-01-02 9:51 PM	
quicktrip	AA-3508-ATL-MIA	2012-01-02 7:40 PM	2012-01-02 7:55 PM		2012-01-02 9:40 PM	2012-01-02 9:51 PM	
world-flight-tracker	AA-3508-ATL-MIA	2012-01-02 7:40 PM	2012-01-02 7:55 PM		2012-01-02 9:40 PM	2012-01-02 9:51 PM	
flightview	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02	T10	9:40 PM, Jan 02	9:51 PM, Jan 02	Terminal D - D60
panynj	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02	T10	9:40 PM, Jan 02	9:51 PM, Jan 02	Terminal D - D60
gofox	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02		9:40 PM, Jan 02	9:51 PM, Jan 02	
foxbusiness	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02	T10	9:40 PM, Jan 02	9:51 PM, Jan 02	Terminal D - D60
allegiantair	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02	T10	9:40 PM, Jan 02	9:51 PM, Jan 02	Terminal D - D60
boston	AA-3508-ATL-MIA	7:40 PM, Jan 02	8:17 PM, Jan 02		9:40 PM, Jan 02	9:43 PM, Jan 02	
orbitz	AA-3508-ATL-MIA	7:40pJan 2	7:55pJan 2	 T10	9:40pJan 2	9:51pJan 2	 D60F
weather	AA-3508-ATL-MIA	2012-01-02 07:40 PM			2012-01-02 09:40 PM		
flightarrival	AA-3508-ATL-MIA	2012-01-02 07:40 PM			2012-01-02 09:40 PM		
ua	UA-2690-DTW-PHL	Mon, Jan 2 7:10 AM	Mon, Jan 2 7:10 AM	D24	Mon, Jan 2 8:53 AM	Mon, Jan 2 9:03 AM	A13
airtravelcenter	UA-2690-DTW-PHL		1/2/12 7:46 AM (-05:00)			1/2/12 9:03 AM (-05:00)	
myrateplan	UA-2690-DTW-PHL		1/2/12 7:46 AM (-05:00)			1/2/12 9:03 AM (-05:00)	
helloflight	UA-2690-DTW-PHL		1/2/12 7:46 AM (-05:00)			1/2/12 9:03 AM (-05:00)	
flytecomm	UA-2690-DTW-PHL		1/2/12 7:46 AM (-05:00)			1/2/12 9:03 AM (-05:00)	
flights	UA-2690-DTW-PHL		2012-01-02 07:06 AM	D24		2012-01-02 09:03 AM	13
businesstravellogue	UA-2690-DTW-PHL		2012-01-02 07:06 AM	D24		2012-01-02 09:03 AM	13
flylouisville	UA-2690-DTW-PHL		2012-01-02 07:06 AM	D24		2012-01-02 09:03 AM	13
flightview	UA-2690-DTW-PHL		7:46 AMJan 02			8:53 AMJan 02	
panynj	UA-2690-DTW-PHL		7:46 AMJan 02			8:53 AMJan 02	
gofox	UA-2690-DTW-PHL		7:46 AMJan 02			8:53 AMJan 02	
foxbusiness	UA-2690-DTW-PHL		7:46 AMJan 02			8:53 AMJan 02	
allegiantair	UA-2690-DTW-PHL		7:46 AMJan 02			8:53 AMJan 02	
boston	UA-2690-DTW-PHL		7:46 AMJan 02			9:04 AMJan 02	
orbitz	UA-2690-DTW-PHL	7:10aJan 2	7:06aJan 2	 -	8:53aJan 2	9:03aJan 2	 -
weather	UA-2690-DTW-PHL	2012-01-02 07:10 AM			2012-01-02 08:53 AM		
usatoday	UA-2690-DTW-PHL	2012-01-02 07:10 AM			2012-01-02 08:53 AM		
CO	CO-1097-IAH-LAX	Mon., Jan.02, 2012 1:05 p.m.	Mon., Jan.02, 2012 1:28 p.m.		Mon., Jan.02, 2012 3:00 p.m.	Mon., Jan.02, 2012 2:54 p.m.	
flightexplorer	CO-1097-IAH-LAX		1/2/2012 1:41PM CST			1/2/2012 2:34PM PST	
airtravelcenter	CO-1097-IAH-LAX	1/2/12 1:05 PM (-06:00)			1/2/12 3:00 PM (-08:00)		
myrateplan	CO-1097-IAH-LAX	1/2/12 1:05 PM (-06:00)			1/2/12 3:00 PM (-08:00)		
helloflight	CO-1097-IAH-LAX	1/2/12 1:05 PM (-06:00)			1/2/12 3:00 PM (-08:00)		
flytecomm	CO-1097-IAH-LAX	1/2/12 1:05 PM (-06:00)			1/2/12 3:00 PM (-08:00)		
flightaware	CO-1097-IAH-LAX	2012-01-02 01:05PM CST	2012-01-02 01:42PM CST	 34 	2012-01-02 02:14PM PST	2012-01-02 02:34PM PST	 64 
wunderground	CO-1097-IAH-LAX	2012-01-02 01:05PM CST	2012-01-02 01:42PM CST	 34 	2012-01-02 02:14PM PST	2012-01-02 02:34PM PST	 64 
flights	CO-1097-IAH-LAX		2012-01-02 01:28 PM	34		2012-01-02 02:54 PM	64
businesstravellogue	CO-1097-IAH-LAX		2012-01-02 01:28 PM	34		2012-01-02 02:54 PM	64
flylouisville	CO-1097-IAH-LAX		2012-01-02 01:28 PM	34		2012-01-02 02:54 PM	64
flightstats	CO-1097-IAH-LAX	2012-01-02 1:05 PM	2012-01-02 1:28 PM		2012-01-02 3:00 PM	2012-01-02 2:54 PM	
quicktrip	CO-1097-IAH-LAX	2012-01-02 1:05 PM	2012-01-02 1:28 PM		2012-01-02 3:00 PM	2012-01-02 2:54 PM	
flightview	CO-1097-IAH-LAX		1:43 PMJan 02			2:54 PMJan 02	
panynj	CO-1097-IAH-LAX		1:43 PMJan 02			2:54 PMJan 02	
gofox	CO-1097-IAH-LAX		1:43 PMJan 02			2:54 PMJan 02	
foxbusiness	CO-1097-IAH-LAX		1:43 PMJan 02			2:54 PMJan 02	
allegiantair	CO-1097-IAH-LAX		1:43 PMJan 02			2:54 PMJan 02	
boston	CO-1097-IAH-LAX		1:43 PMJan 02			2:34 PMJan 02	
orbitz	CO-1097-IAH-LAX	1:05pJan 2	1:28pJan 2	 C-34	3:00pJan 2	2:54pJan 2	 64
usatoday	CO-1097-IAH-LAX		1:43 PMJan 02			2:34 PMJan 02	
mytripandmore	CO-1097-IAH-LAX	1:05pJan 2	1:28pJan 2	 C-34	3:00pJan 2	2:54pJan 2	 64
aa	AA-637-ORD-LAX				January 2, 2012               07:10 PM    	January 2, 2012     	 43    
flightexplorer	AA-637-ORD-LAX	1/2/2012 5:27PM CST			1/2/2012 7:14PM PST		
airtravelcenter	AA-637-ORD-LAX		1/2/12 5:27 PM (-06:00)			1/2/12 7:14 PM (-08:00)	
myrateplan	AA-637-ORD-LAX		1/2/12 5:27 PM (-06:00)			1/2/12 7:14 PM (-08:00)	
helloflight	AA-637-ORD-LAX		1/2/12 5:27 PM (-06:00)			1/2/12 7:14 PM (-08:00)	
flytecomm	AA-637-ORD-LAX		1/2/12 5:27 PM (-06:00)			1/2/12 7:14 PM (-08:00)	
flightaware	AA-637-ORD-LAX	2012-01-02 04:40PM CST	2012-01-02 05:21PM CST	 H11B 	2012-01-02 06:39PM PST	2012-01-02 07:20PM PST	 43 
wunderground	AA-637-ORD-LAX	2012-01-02 04:40PM CST	2012-01-02 05:21PM CST	 H11B 	2012-01-02 06:39PM PST	2012-01-02 07:20PM PST	 43 
flights	AA-637-ORD-LAX	04:40 PM  Mon 02-Jan-2012		H11B	07:10 PM  Mon 02-Jan-2012		43
businesstravellogue	AA-637-ORD-LAX	04:40 PM  Mon 02-Jan-2012		H11B	07:10 PM  Mon 02-Jan-2012		43
flylouisville	AA-637-ORD-LAX	04:40 PM  Mon 02-Jan-2012		H11B	07:10 PM  Mon 02-Jan-2012		43
world-flight-tracker	AA-637-ORD-LAX	2012-01-02 4:40 PM	2012-01-02 5:21 PM		2012-01-02 7:10 PM	2012-01-02 7:30 PM (Estimated)	
flightview	AA-637-ORD-LAX	4:40 PM, Jan 02		Terminal 3 - H11B	7:10 PM, Jan 02		Terminal 4 - 43
panynj	AA-637-ORD-LAX	4:40 PM, Jan 02		Terminal 3 - H11B	7:10 PM, Jan 02		Terminal 4 - 43
gofox	AA-637-ORD-LAX	4:40 PM, Jan 02			7:10 PM, Jan 02		
foxbusiness	AA-637-ORD-LAX	4:40 PM, Jan 02		Terminal 3 - H11B	7:10 PM, Jan 02		Terminal 4 - 43
allegiantair	AA-637-ORD-LAX	4:40 PM, Jan 02		Terminal 3 - H11B	7:10 PM, Jan 02		Terminal 4 - 43
boston	AA-637-ORD-LAX	4:40 PM, Jan 02	5:10 PM, Jan 02&nbsp(Estimated)		7:10 PM, Jan 02	6:56 PM, Jan 02&nbsp(Estimated)	
orbitz	AA-637-ORD-LAX	5:25pJan 2	5:21pJan 2	 H11B	7:50pJan 2		 43
weather	AA-637-ORD-LAX	2012-01-02 04:40 PM	2012-01-02 05:27 PM		2012-01-02 07:10 PM	2012-01-02 07:14 PM	
flightarrival	AA-637-ORD-LAX	2012-01-02 04:40 PM	2012-01-02 05:27 PM		2012-01-02 07:10 PM	2012-01-02 07:14 PM	
ua	UA-1406-IAH-LAX	Mon, Jan 2 8:30 PM	Mon, Jan 2 8:43 PM            Delayed	C-22	Mon, Jan 2 10:24 PM	Mon, Jan 2 10:18 PM	64
airtravelcenter	UA-1406-IAH-LAX		1/2/12 9:00 PM (-06:00)			1/2/12 10:01 PM (-08:00)	
myrateplan	UA-1406-IAH-LAX		1/2/12 9:00 PM (-06:00)			1/2/12 10:01 PM (-08:00)	
helloflight	UA-1406-IAH-LAX		1/2/12 9:00 PM (-06:00)			1/2/12 10:01 PM (-08:00)	
flytecomm	UA-1406-IAH-LAX		1/2/12 9:00 PM (-06:00)			1/2/12 10:01 PM (-08:00)	
flightaware	UA-1406-IAH-LAX	2012-01-02 08:30PM CST	2012-01-02 09:00PM CST	 22 	2012-01-02 09:35PM PST	2012-01-02 10:05PM PST	 64 
wunderground	UA-1406-IAH-LAX	2012-01-02 08:30PM CST	2012-01-02 09:00PM CST	 22 	2012-01-02 09:35PM PST	2012-01-02 10:05PM PST	 64 
flights	UA-1406-IAH-LAX		2012-01-02 08:43 PM	22		2012-01-02 10:24 PM	64
businesstravellogue	UA-1406-IAH-LAX		2012-01-02 08:43 PM	22		2012-01-02 10:24 PM	64
flylouisville	UA-1406-IAH-LAX		2012-01-02 08:43 PM	22		2012-01-02 10:24 PM	64
flightstats	UA-1406-IAH-LAX	2012-01-02 8:30 PM	2012-01-02 8:43 PM		2012-01-02 10:24 PM	2012-01-02 10:11 PM (Estimated)	
quicktrip	UA-1406-IAH-LAX	2012-01-02 8:30 PM	2012-01-02 8:43 PM		2012-01-02 10:24 PM	2012-01-02 10:11 PM (Estimated)	
flightview	UA-1406-IAH-LAX		9:00 PMJan 02			10:09 PMJan 02	
panynj	UA-1406-IAH-LAX		9:00 PMJan 02			10:09 PMJan 02	
gofox	UA-1406-IAH-LAX		9:00 PMJan 02			10:09 PMJan 02	
foxbusiness	UA-1406-IAH-LAX		9:00 PMJan 02			10:09 PMJan 02	
